   round  pick                player    nationality              college / junior / club team
0      1     1   mario lemieux ( c )         canada                   laval voisins ( qmjhl )
1      1     9       doug bodger (d)         canada            kamloops junior oilers ( whl )
2      1    16    roger belanger (c)         canada                kingston canadians ( ohl )
3      4    64     mark teevens (rw)         canada                  peterborough petes (ohl)
4      5    85  arto javanainen (rw)        finland                           ässät (finland)
5      7   127          tom ryan (d)  united states  newton north high school (massachusetts)
6      9   169     john del col (lw)         canada                   toronto marlboros (ohl)
7     10   189       steve hurt (rw)  united states     hill - murray high school (minnesota)
8     11   210         jim steen (c)  united states        moorhead senior school (minnesota)
9     12   230    mark ziliotto (lw)         canada               streetsville jr b (ontario)
