      res  record            opponent                                   method                                     event  round  time                              location
0     win  26 - 9       john phillips            submission (guillotine choke)                          cage warriors 54      1  2:43                       cardiff , wales
1     win  25 - 9       kendall grove                     decision (unanimous)  k - oz entertainment - bragging rights 5      5  5:00             perth , western australia
2     win  24 - 9        chris fields          submission (rear - naked choke)                          cage warriors 51      2  1:06                      dublin , ireland
3     win  23 - 9       steve kennedy          submission (rear - naked choke)  k - oz entertainment - bragging rights 4      1  4:01             perth , western australia
4     win  22 - 9      marcel fortuna                     decision (unanimous)        dragon house 11: taylor vs fortuna      3  5:00  oakland , california , united states
5     win  21 - 9  christopher ortega            submission (guillotine choke)                     cg - cage gladiator 7      1  1:13            mexicali , baja california
6    loss  20 - 9        gaël grimaud                      submission (armbar)               cage warriors fight night 6      3  0:55                    isa town , bahrain
7    loss  20 - 8      mamed khalidov                     submission (kneebar)                        ksw xvii : revenge      1  1:42                         łódź , poland
8     win  20 - 7      mario trujillo          submission (rear - naked choke)                 ultimate combat challenge      1  1:30                  panama city , panama
9    loss  19 - 7      hector lombard                   submission (heel hook)                           australian fc 2      2  1:26                 melbourne , australia
10    win  19 - 6          denis kang            submission (rear naked choke)                battlefield fight league 8      1  1:57             british columbia , canada
11    win  18 - 6       clay davidson                     decision (unanimous)                battlefield fight league 7      3  5:00             british columbia , canada
12    win  17 - 6       dylan andrews  technical submission (guillotine choke)                           australian fc 1      1  2:33                 melbourne , australia
13    win  16 - 6          tom watson                     decision (unanimous)                                    mfc 26      3  5:00                      alberta , canada
14    win  15 - 6   murilo bustamante                             tko (injury)                               impact fc 2      2  2:10                    sydney , australia
15   loss  14 - 6       thales leites              submission (triangle choke)                                    mfc 25      1  2:27                      alberta , canada
16    win  14 - 5           jason day            submission (rear naked choke)                         amma 2: vengeance      1  1:14                      alberta , canada
17   loss  13 - 5       luke rockhold            submission (rear naked choke)                 strikeforce challengers 4      1  3:42            california , united states
18   loss  13 - 4          jay hieron                     decision (unanimous)            strikeforce : carano vs cyborg      3  5:00            california , united states
19    win  13 - 3     yoon dong - sik                       tko (ankle injury)                                  dream 10      1  1:02             saitama , saitama , japan
20    win  12 - 3       rubén barboza            submission (rear naked choke)                           total combat 33      1  3:13                           mexico city
21    win  11 - 3         eric davila            submission (rear naked choke)                            shark fights 4      1  2:29                 texas , united states
22    win  10 - 3       chris camozzi                     decision (unanimous)                       king of champions 3      3  5:00              colorado , united states
23    win   9 - 3         gert kocani            submission (rear naked choke)          xtreme cagefighting federation 1      2  4:45               florida , united states
24    win   8 - 3     rico altamirano            submission (rear naked choke)                       the warriors cage 1      2  2:00            california , united states
25    win   7 - 3        drew fickett                   tko (punches & elbows)                           total combat 32      1  1:42            california , united states
26   loss   6 - 3         cb dollaway            submission (peruvian necktie)                        ufc fight night 14      1  3:58                nevada , united states
27    win   6 - 2       jorge ramirez                            tko (punches)                             mma xtreme 15      1  0:42                  mexico city , mexico
28  win x   5 - 2          matt major                     decision (unanimous)                     melee on the mountain      3  5:00            california , united states
29   loss   4 - 2          kenny ento              submission (triangle choke)                                primal mma      1  0:37                      tijuana , mexico
30    win   4 - 1         jorge ortiz                            tko (punches)                           total combat 21      2  1:49            california , united states
31   loss   3 - 1        jesse forbes                      submission (armbar)                          tuff - n - uff 2      1  1:21                nevada , united states
32    win   3 - 0      noel rodriguez            submission (rear naked choke)                              mma xtreme 9      2  1:03                      tijuana , mexico
33    win   2 - 0      chris chiasson                            tko (punches)                             no limits mma      2  1:28            california , united states
34    win   1 - 0      robert sarkozi                     decision (unanimous)                         kotc : rapid fire      2  5:00            california , united states
