                     team            location                            venue  capacity  avg attendance
0        alemannia aachen              aachen                       new tivoli     32900           23199
1        rot - weiß ahlen               ahlen                     wersestadion     12500            4600
2             fc augsburg            augsburg                     impuls arena     30660           16061
3      1. fc union berlin              berlin                   alte försterei     18955           14534
4       arminia bielefeld           bielefeld                   schüco - arena     27300           16055
5      fc energie cottbus             cottbus         stadion der freundschaft     22528           11079
6            msv duisburg            duisburg                      msv - arena     31500           14498
7      fortuna düsseldorf          düsseldorf                     esprit arena     51500           28007
8           fsv frankfurt   frankfurt am main  frankfurter volksbank - stadion     10826            5256
9    spvgg greuther fürth               fürth              playmobil - stadion     15200            6319
10   1. fc kaiserslautern      kaiserslautern             fritz walter stadion     48500           31360
11          karlsruher sc           karlsruhe                  wildparkstadion     29699           18178
12            tus koblenz             koblenz                stadion oberwerth     15000            7346
13        tsv 1860 munich              munich                    allianz arena     69000           24844
14  rot - weiß oberhausen          oberhausen               niederrheinstadion     21318            6631
15        sc paderborn 07           paderborn                energieteam arena     15000            9005
16       fc hansa rostock             rostock                      dkb - arena     29000           13800
17            fc st pauli  st pauli , hamburg             millerntor - stadion     23201           21882
