    pick           player    position    nationality               nhl team                 college / junior / club team
0      1     brian lawton      centre  united states  minnesota north stars         mount st charles academy (ushs - ri)
1      2  sylvain turgeon   left wing         canada       hartford whalers                    hull olympiques ( qmjhl )
2      3   pat lafontaine      centre  united states     new york islanders                       verdun juniors (qmjhl)
3      4    steve yzerman      centre         canada      detroit red wings                   peterborough petes ( ohl )
4      5     tom barrasso  goaltender  united states         buffalo sabres      acton - boxboro high school (ushs - ma)
5      6     john maclean  right wing         canada      new jersey devils                        oshawa generals (ohl)
6      7   russ courtnall      centre         canada    toronto maple leafs                     victoria cougars ( whl )
7      8    andrew mcbain  right wing         canada          winnipeg jets                  north bay centennials (ohl)
8      9        cam neely  right wing         canada      vancouver canucks                  portland winter hawks (whl)
9     10  normand lacombe  right wing         canada         buffalo sabres  university of new hampshire ( hockey east )
10    11   adam creighton      centre         canada         buffalo sabres                           ottawa 67 's (ohl)
11    12      dave gagner      centre         canada       new york rangers                   brantford alexanders (ohl)
12    13        dan quinn      centre         canada         calgary flames                       belleville bulls (ohl)
13    14     bobby dollas     defence         canada          winnipeg jets                        laval voisins (qmjhl)
14    15        bob errey   left wing         canada    pittsburgh penguins                     peterborough petes (ohl)
15    16    gerald diduck     defence         canada     new york islanders                     lethbridge broncos (whl)
16    17   alfie turcotte      centre  united states     montreal canadiens                  portland winter hawks (whl)
17    18    bruce cassidy     defence         canada    chicago black hawks                           ottawa 67 's (ohl)
18    19   jeff beukeboom     defence         canada        edmonton oilers             sault ste marie greyhounds (ohl)
19    20     david jensen      centre  united states       hartford whalers                 lawrence academy (ushs - ma)
20    21   nevin markwart   left wing         canada          boston bruins                            regina pats (whl)
