    no in series                          title            directed by                                        written by    original air date  production code  us viewers (millions)
0              1                     patriarchy               ken olin                                   jon robin baitz  september 24 , 2006              101                  16.10
1              2                 an act of will           matt shakman                     jon robin baitz & marti noxon     october 1 , 2006              102                  13.90
2              3               affairs of state           tucker gates  jon robin baitz & emily whitesell & craig wright     october 8 , 2006              103                  13.10
3              4                family portrait               ken olin                    jon robin baitz & craig wright    october 15 , 2006              104                  12.00
4              5                     date night  allison liddi - brown               david marshall grant & molly newman    october 22 , 2006              105                  12.10
5              6               for the children     frederick e o toye             jon robin baitz & jessica mecklenburg    october 29 , 2006              106                  12.67
6              7              northern exposure      lawrence trilling               david marshall grant & molly newman    november 5 , 2006              107                  13.73
7              8  mistakes were made , part one          michael lange                    jon robin baitz & craig wright   november 12 , 2006              108                  13.10
8              9  mistakes were made , part two               ken olin                   marc guggenheim & greg berlanti   november 19 , 2006              109                  13.21
9             10               light the lights     frederick e o toye                       peter calloway & cliff olin   december 10 , 2006              110                  10.47
10            11                     family day         david petrarca               david marshall grant & molly newman     january 7 , 2007              111                  12.06
11            12                sexual politics           sandy smolan                    monica breen & alison schapker    january 14 , 2007              112                  12.46
12            13   something ida this way comes          michael lange   david marshall grant & sherri cooper - landsman    january 21 , 2007              113                  11.95
13            14       valentine™s day massacre        michael schultz                       peter calloway & cliff olin   february 11 , 2007              114                  11.31
14            15              love is difficult          michael lange                    jon robin baitz & molly newman   february 18 , 2007              115                  11.78
15            16               the other walker           gloria muzio                    monica breen & alison schapker       march 4 , 2007              116                  11.78
16            17              all in the family           david paymer   sherri cooper - landsman & david marshall grant       april 1 , 2007              117                   9.13
17            18                  three parties           sandy smolan                 jon robin baitz & marc guggenheim       april 8 , 2007              118                  10.98
18            20                       bad news            jason moore                    monica breen & alison schapker      april 29 , 2007              120                  11.52
19            21                grapes of wrath         michael morris   sherri cooper - landsman & david marshall grant         may 6 , 2007              121                  10.83
20            22                   favorite son           gloria muzio                     benjamin kruger & daniel silk        may 13 , 2007              122                  11.92
