   year    chassis           engine  start  finish                team
0  1993       lola  ford - cosworth     25      27                foyt
1  1994       lola  ford - cosworth     19       5              walker
2  1995       lola  ford - cosworth      7       5              walker
3  1997  g - force       oldsmobile     12      29               sabco
4  1999    dallara       oldsmobile      4       4              menard
5  2000    dallara       oldsmobile      4       6              menard
6  2001    dallara       oldsmobile      3      21    foyt / childress
7  2002    dallara        chevrolet     11       8  menard / childress
8  2003    dallara            honda      3      22      andretti green
9  2004    dallara        chevrolet     18      29              gordon
