      date  score    set 1    set 2    set 3    set 4    set 5      total
0   may 28  2 - 3  27 - 25  23 - 25  25 - 18  11 - 25  08 - 15   94 - 108
1   may 28  3 - 0  25 - 21  25 - 23  25 - 21       na       na    75 - 65
2   may 30  3 - 0  25 - 23  25 - 19  31 - 29       na       na    81 - 71
3   may 30  0 - 3  20 - 25  18 - 25  23 - 25       na       na    61 - 75
4    may 5  3 - 1  25 - 21  25 - 18  22 - 25  25 - 21       na    97 - 85
5    jun 6  3 - 0  25 - 22  25 - 23  25 - 17       na       na    75 - 62
6    jun 7  3 - 1  19 - 25  25 - 19  25 - 22  25 - 23       na    94 - 89
7    jun 7  3 - 0  25 - 19  25 - 21  25 - 18       na       na    75 - 58
8   jun 12  3 - 1  20 - 25  25 - 23  25 - 21  25 - 21       na    95 - 90
9   jun 12  0 - 3  18 - 25  23 - 25  16 - 25       na       na    57 - 75
10  jun 14  1 - 3  24 - 26  19 - 25  25 - 23  22 - 25       na    90 - 99
11  jun 14  0 - 3  23 - 25  23 - 25  25 - 27       na       na    71 - 77
12  jun 19  1 - 3  19 - 25  25 - 18  25 - 27  20 - 25       na    89 - 95
13  jun 20  2 - 3  27 - 29  25 - 17  25 - 18  23 - 25  16 - 18  116 - 107
14  jun 21  2 - 3  25 - 23  25 - 19  21 - 25  25 - 27  17 - 19  113 - 113
15  jun 21  0 - 3  31 - 33  18 - 25  22 - 25       na       na    71 - 83
16  jun 27  0 - 3  19 - 25  18 - 25  15 - 25       na       na    52 - 75
17  jun 27  3 - 0  25 - 19  25 - 21  25 - 18       na       na    75 - 58
18  jun 28  1 - 3  21 - 25  23 - 25  25 - 22  21 - 25       na    90 - 97
19  jun 28  3 - 1  22 - 25  25 - 22  25 - 21  25 - 18       na    97 - 86
20   jun 2  2 - 3  27 - 29  25 - 19  25 - 20  16 - 25  12 - 15  105 - 108
21   jun 2  3 - 1  25 - 14  22 - 25  25 - 18  25 - 23       na    97 - 80
22   jun 4  3 - 1  25 - 20  25 - 18  26 - 28  25 - 21       na   101 - 87
23   jun 4  3 - 0  26 - 24  25 - 18  25 - 19       na       na    76 - 61
