              dance               best dancer (s)  best score                      worst dancer (s)  worst score
0       cha cha cha                  alesha dixon          39            gethin jones / kenny logan           22
1              jive                  gethin jones          37  dominic littlewood / penny lancaster           25
2             rumba  kelly brook / matt di angelo          33            letitia dean / kenny logan           23
3        paso doble                  alesha dixon          36           kenny logan / kate garraway           21
4             samba                  alesha dixon          36                         kate garraway           16
5             waltz                matt di angelo          40                          brian capron           18
6         quickstep                  alesha dixon          38                         kate garraway           15
7           foxtrot                  alesha dixon          36                           john barnes           24
8             tango                  alesha dixon          38                         kate garraway           19
9    viennese waltz                  alesha dixon          38                           kenny logan           26
10  american smooth                  gethin jones          38                           john barnes           22
11            salsa                matt di angelo          39                         kate garraway           18
12  argentine tango                  alesha dixon          38                        matt di angelo           35
