     rank          nation  gold  silver  bronze  total
0       1         hungary     6       5       1     12
1       2         germany     5       5       2     12
2       3         belarus     3       3       1      7
3       4          canada     3       1       2      6
4       5         romania     3       1       0      4
5       6          russia     2       2       6     10
6       7          france     2       2       1      5
7       8           spain     1       3       0      4
8       9   great britain     1       2       3      6
9      10         ukraine     1       2       1      4
10     11         austria     1       0       1      2
11     12          sweden     1       0       1      2
12     13      uzbekistan     1       0       1      2
13     14       australia     1       0       0      1
14     15       lithuania     1       0       0      1
15     16          tahiti     1       0       0      1
16     17           italy     0       1       4      5
17     18          poland     0       1       4      5
18     19          brazil     2       1       0      3
19     20        slovakia     0       1       2      3
20     21           china     0       2       0      2
21     22      azerbaijan     0       1       0      1
22     23        portugal     0       1       0      1
23     24   united states     0       1       0      1
24     25         finland     0       0       2      2
25     26  czech republic     0       0       1      1
26     27           japan     0       0       1      1
27     28     new zealand     0       0       1      1
28     29          serbia     0       0       1      1
29  total           total    36      36      37    109
