                         title                               author                                       reader         format    company                    release date                                               notes
0                 another life  anghelides , peter peter anghelides              barrowman , john john barrowman         3 - cd  bbc audio     2007 - 04 - 02 2 april 2007                                            abridged
1                   slow decay                lane , andy andy lane                    gorman , burn burn gorman         3 - cd  bbc audio     2007 - 04 - 02 2 april 2007                                            abridged
2               border princes              abnett , dan dan abnett                        myles , eve eve myles         3 - cd  bbc audio     2007 - 04 - 02 2 april 2007                                            abridged
3                       hidden       saville , steven steven savile                      mori , naoko naoko mori         2 - cd  bbc audio  2008 - 02 - 04 4 february 2008  an original audiobook , not published in book form
4          everyone says hello              abnett , dan dan abnett                    gorman , burn burn gorman         2 - cd  bbc audio  2008 - 02 - 04 4 february 2008  an original audiobook , not published in book form
5               in the shadows      lidster , joseph joseph lidster                        myles , eve eve myles         2 - cd  bbc audio       2009 - 05 - 07 7 may 2009  an original audiobook , not published in book form
6               the sin eaters        minchin , brian brian minchin  david - lloyd , gareth gareth david - lloyd         2 - cd  bbc audio      2009 - 06 - 04 4 june 2009  an original audiobook , not published in book form
7                 department x              goss , james james goss                          owen , kai kai owen         2 - cd  bbc audio     2011 - 04 - 03 3 march 2011  an original audiobook , not published in book form
8                  ghost train              goss , james james goss                          owen , kai kai owen         2 - cd  bbc audio     2011 - 04 - 03 3 march 2011  an original audiobook , not published in book form
9               long time dead  pinborough , sarah sarah pinborough                   varma , idria indira varma       download    audiogo     2011 - 10 - 01 october 2011                                          unabridged
10  the men who sold the world                adams , guy guy adams                    telfer , john john telfer       download    audiogo     2011 - 10 - 01 october 2011                                          unabridged
11                 army of one          edginton , ian ian edginton                          owen , kai kai owen  download / cd    audiogo     2012 - 03 - 08 8 march 2012  an original audiobook , not published in book form
12                     fallout    llewellyn , david david llewellyn                        price , tom tom price  download / cd    audiogo     2012 - 04 - 05 5 april 2012  an original audiobook , not published in book form
13                   red skies      lidster , joseph joseph lidster                    telfer , john john telfer  download / cd    audiogo       2012 - 05 - 03 3 may 2012  an original audiobook , not published in book form
