    pick          player    position     nationality               nhl team           college / junior / club team
0     43     david mclay   left wing          canada    philadelphia flyers                    kelowna wings (whl)
1     44      neil davey     defence          canada      new jersey devils                michigan state ( ccha )
2     45    trent yawney     defence          canada    chicago black hawks                 saskatoon blades (whl)
3     46  ken hodge , jr      centre   united states  minnesota north stars          st john 's school (ushs - ma)
4     47    john stevens     defence          canada    philadelphia flyers                  oshawa generals (ohl)
5     48    john english     defence          canada      los angeles kings       sault ste marie greyhounds (ohl)
6     49   milan chalupa     defence  czechoslovakia      detroit red wings      hc dukla jihlava (czechoslovakia)
7     50    toby ducolon  right wing   united states         st louis blues       bellows free academy (ushs - vt)
8     51     patrick roy  goaltender          canada     montreal canadiens                  granby bisons (qmjhl)
9     52  david saunders   left wing          canada      vancouver canucks          st lawrence university (ecac)
10    53     robert dirk     defence          canada         st louis blues                      regina pats (whl)
11    54    graeme bonar  right wing          canada     montreal canadiens       sault ste marie greyhounds (ohl)
12    55   landis chaulk   left wing          canada      vancouver canucks                calgary wranglers (whl)
13    56      alan perry  goaltender   united states         st louis blues   mount st charles academy (ushs - ri)
14    57     steven finn     defence          canada       quebec nordiques                  laval voisins (qmjhl)
15    58    mike stevens      centre          canada      vancouver canucks                kitchener rangers (ohl)
16    59  michal pivonka      centre  czechoslovakia    washington capitals          poldi kladno (czechoslovakia)
17    60    ray sheppard  right wing          canada         buffalo sabres                  cornwall royals (ohl)
18    61  jeff cornelius     defence          canada          boston bruins                toronto marlboros (ohl)
19    62     jeff norton     defence   united states     new york islanders            cushing academy (ushs - ma)
20    63     todd norman      centre   united states        edmonton oilers  hill - murray high school (ushs - mn)
