    pick  round             player          position                    school
0      1      1     lee roy selmon     defensive end                  oklahoma
1     30      2       jimmy dubose      running back                   florida
2     60      2       dewey selmon        linebacker                  oklahoma
3     61      3        steve young            tackle                  colorado
4     91      3      steve maughan        linebacker                utah state
5    121      4    richard appleby     wide receiver                   georgia
6    124      4     everett little             guard                   houston
7    125      5     michael kelson    defensive back          west texas state
8    154      5       steve wilson            tackle                   georgia
9    158      6      curtis jordan    defensive back                texas tech
10   183      7  parnell dickinson       quarterback  mississippi valley state
11   238      9        bruce welch             guard                 texas a&m
12   267     10          sid smith        linebacker             brigham young
13   292     11  melvin washington    defensive back            colorado state
14   321     12    george ragsdale      running back        north carolina a&t
15   348     13       brad jenkins         tight end                  nebraska
16   377     14       carl roaches     wide receiver                 texas a&m
17   404     15       bob dzierzak  defensive tackle                utah state
18   433     16         tommy west        linebacker                 tennessee
19   460     17         jack berry       quarterback          washington & lee
