    round  pick               name         position             school
0       1    17       kevin brooks    defensive end           michigan
1       2    44         jesse penn       linebacker      virginia tech
2       3    76       crawford ker  offensive guard            florida
3       4   103     robert lavette     running back       georgia tech
4       5   114    herschel walker     running back            georgia
5       6   144       kurt ploeger    defensive end  gustavus adolphus
6       6   157         matt moran  offensive guard           stanford
7       7   178          karl powe    wide receiver      alabama state
8       7   184       jim herrmann    defensive end                byu
9       8   216      leon gonzales    wide receiver  bethune - cookman
10      9   243  scott strasburger       linebacker           nebraska
11     10   270          joe jones        tight end      virginia tech
12     11   297     neal dellocono       linebacker               ucla
13     12   324        karl jordan       linebacker         vanderbilt
