    year      arizona  california    colorado      nevada  new mexico    oklahoma       texas        utah
0   year      arizona  california    colorado      nevada  new mexico    oklahoma       texas        utah
1   1952   eisenhower  eisenhower  eisenhower  eisenhower  eisenhower  eisenhower  eisenhower  eisenhower
2   1956  î isenhower  eisenhower  eisenhower  eisenhower  eisenhower  eisenhower  eisenhower  eisenhower
3   1960        nixon       nixon       nixon     kennedy     kennedy       nixon     kennedy       nixon
4   1964    goldwater     johnson     johnson     johnson     johnson     johnson     johnson     johnson
5   1968        nixon       nixon       nixon       nixon       nixon       nixon    humphrey       nixon
6   1972        nixon       nixon       nixon       nixon       nixon       nixon       nixon       nixon
7   1976         ford        ford        ford        ford        ford        ford      carter        ford
8   1980       reagan      reagan      reagan      reagan      reagan      reagan      reagan      reagan
9   1984       reagan      reagan      reagan      reagan      reagan      reagan      reagan      reagan
10  1988         bush        bush        bush        bush        bush        bush        bush        bush
11  1992         bush     clinton     clinton     clinton     clinton        bush        bush        bush
12  1996      clinton     clinton        dole     clinton     clinton        dole        dole        dole
13  2000         bush        gore        bush        bush        gore        bush        bush        bush
14  2004         bush       kerry        bush        bush        bush        bush        bush        bush
15  2008       mccain       obama       obama       obama       obama      mccain      mccain      mccain
16  2012       romney       obama       obama       obama       obama      romney      romney      romney
