       season                   staffel a                staffel b                staffel c            staffel d              staffel e
0   1971 - 72                  tsg wismar         dynamo berlin ii           chemie leipzig         motor werdau      rot - weiß erfurt
1   1972 - 73          vorwärts stralsund         dynamo berlin ii         vorwärts leipzig    dynamo dresden ii           chemie zeitz
2   1973 - 74          vorwärts stralsund       1. fc union berlin     hallescher fc chemie        chemie böhlen            wismut gera
3   1974 - 75             dynamo schwerin       1. fc union berlin           chemie leipzig      energie cottbus            wismut gera
4   1975 - 76               hansa rostock       1. fc union berlin  hallescher fc chemie ii         motor werdau  fc carl zeiss jena ii
5   1976 - 77          vorwärts stralsund        stahl hennigsdorf           chemie leipzig        chemie böhlen            wismut gera
6   1977 - 78               hansa rostock  vorwärts neubrandenburg           chemie leipzig          lok dresden            stahl riesa
7   1978 - 79             tsg bau rostock       vorwärts frankfurt           chemie leipzig      energie cottbus             motor suhl
8   1979 - 80               hansa rostock      dynamo fürstenwalde            chemie böhlen      energie cottbus            wismut gera
9   1980 - 81  schiffahrt / hafen rostock       1. fc union berlin          chemie schkopau      energie cottbus             motor suhl
10  1981 - 82          vorwärts stralsund       1. fc union berlin            chemie böhlen          stahl riesa       motor nordhausen
11  1982 - 83  schiffahrt / hafen rostock        stahl brandenburg           chemie leipzig          stahl riesa            wismut gera
12  1983 - 84     vorwärts neubrandenburg        stahl brandenburg          vorwärts dessau  sachsenring zwickau             motor suhl
