    school year                            class a                class aa      class aaa                        class aaaa                          class aaaaa
0     1980 - 81                         paint rock              wolfe city  new braunfels                        brownfield                  houston westchester
1     1981 - 82                         paint rock                 lindsay         kermit  college station a&m consolidated                                plano
2     1982 - 83                               roby                    anna    north lamar                     alamo heights                    houston stratford
3     1983 - 84                            lindsay      springlake - earth   pflugerville                     new braunfels                      arlington lamar
4     1984 - 85                        gold - burg                   baird    north lamar        corpus christi flour bluff                              lubbock
5     1985 - 86                      lenorah grady                   baird         slaton                   austin westlake                            arlington
6     1986 - 87                            lindsay            liberty hill         slaton                           denison                    houston stratford
7     1987 - 88                            lindsay                 clifton       lampasas                        cedar hill                    houston stratford
8     1988 - 89                             plains                redwater       lampasas                          granbury              league city clear creek
9     1989 - 90                              avery                redwater         bishop                    kerrville tivy                     houston memorial
10    1990 - 91                       valley mills      springlake - earth       lampasas                    kerrville tivy              league city clear creek
11    1991 - 92                       valley mills                canadian           troy                          carthage                                klein
12    1992 - 93                            lindsay               wimberley       seminole                        kingsville                   san antonio holmes
13    1993 - 94                            lindsay                florence          cuero                        kingsville                   san antonio holmes
14    1994 - 95                               rule                   troup  waco connally                   mesquite poteet                    fort worth dunbar
15    1995 - 96                               rule                franklin      wimberley                    austin johnson                    sugar land elkins
16    1996 - 97                        garden city                canadian       commerce                   austin anderson                               humble
17    1997 - 98                      lenorah grady                 sundown     bridgeport                    austin johnson     college station a&m consolidated
18    1998 - 99                      lenorah grady                  rogers       alvarado                    austin johnson                            tyler lee
19  1999 - 2000                       water valley                  salado       la feria                gregory - portland                     houston bellaire
20    2000 - 01                      lenorah grady     stinnett west texas       seminole                        kingsville                      arlington lamar
21    2001 - 02                        high island  pattonville prairiland       seminole                        cedar park          south texas science academy
22    2002 - 03                       port aransas                  argyle      wimberley           white settlement brewer                           brazoswood
23    2003 - 04                              avery                  argyle      ballinger                       friendswood                                klein
24    2004 - 05                       port aransas                  argyle       seminole                       friendswood                  sugar land clements
25    2005 - 06  (tie) garden city / nueces canyon                  argyle          cuero                       friendswood                          katy taylor
26    2006 - 07                        garden city                floydada          cuero                     highland park                san antonio macarthur
27    2007 - 08                            moulton   vanderbilt industrial      wimberley                       friendswood                  sugar land clements
28    2008 - 09                           canadian               white oak      wimberley                austin lake travis                     arlington martin
29    2009 - 10                           canadian               white oak        whitney                     highland park                  sugar land clements
30    2010 - 11                           canadian                 whitney       la feria                     highland park                   fort worth paschal
31    2011 - 12                           canadian              lago vista       la feria                     highland park                    sugar land dulles
32    2012 - 13                            sundown                 whitney         argyle                     highland park  dallas science & engineering magnet
