    round              circuit          date    length                    pole position                       gt3 winner                      gt4 winner
0       1          oulton park      25 april   60 mins           no 5 scuderia vittoria                  no 1 trackspeed            no 44 abg motorsport
1       1          oulton park      25 april   60 mins    charles bateman michael lyons  david ashburn richard westbrook    peter belshaw marcus clutton
2       2          oulton park      25 april   60 mins                  no 1 trackspeed           no 5 scuderia vittoria        no 42 century motorsport
3       2          oulton park      25 april   60 mins  david ashburn richard westbrook    charles bateman michael lyons  jake rattenbury josh wakefield
4       3       snetterton 300        15 may  120 mins                 no 10 crs racing          no 23 united autosports            no 44 abg motorsport
5       3       snetterton 300        15 may  120 mins          glynn geddie jim geddie         matt bell michael guasch    peter belshaw marcus clutton
6       4         brands hatch       19 june  120 mins                      no 21 mtech                  no 2 trackspeed            no 44 abg motorsport
7       4         brands hatch       19 june  120 mins      duncan cameron matt griffin       tim bridgman gregor fisken    peter belshaw marcus clutton
8       5  spa - francorchamps        9 july   60 mins                 no 59 mclaren gt                  no 1 trackspeed         no 50 scuderia vittoria
9       5  spa - francorchamps        9 july   60 mins    chris goodwin andrew kirkaldy  david ashburn richard westbrook        dan denis david mcdonald
10      6  spa - francorchamps        9 july   60 mins                  no 1 trackspeed                      no 21 mtech            no 48 lotus sport uk
11      6  spa - francorchamps        9 july   60 mins  david ashburn richard westbrook      duncan cameron matt griffin         phil glew ollie jackson
12      7           rockingham   4 september   60 mins          no 23 united autosports        no 7 beechdean motorsport         no 50 scuderia vittoria
13      7           rockingham   4 september   60 mins         matt bell michael guasch      jonathan adam andrew howard        dan denis david mcdonald
14      8           rockingham   4 september   60 mins                  no 2 trackspeed                 no 11 crs racing         no 50 scuderia vittoria
15      8           rockingham   4 september   60 mins       tim bridgman gregor fisken        alex mortimer andrew tate        dan denis david mcdonald
16      9       donington park  25 september  180 mins                  no 1 trackspeed           no 5 scuderia vittoria            no 48 lotus sport uk
17      9       donington park  25 september  180 mins     david ashburn stephen jelley    charles bateman michael lyons            phil glew james nash
18     10    silverstone arena     8 october  120 mins        no 7 beechdean motorsport        no 7 beechdean motorsport            no 48 lotus sport uk
