     rank          nation  gold  silver  bronze  total
0       1     south korea     7       2       3     12
1       2        thailand     3       4       0      7
2       3  chinese taipei     3       1       3      7
3       4            iran     3       1       2      6
4       5          turkey     0       1       3      4
5       6           italy     0       1       2      3
6       7           spain     0       1       2      3
7       8          russia     0       1       1      2
8       9   united states     0       1       1      2
9      10           china     0       1       0      1
10     11         croatia     0       1       0      1
11     11        malaysia     0       1       0      1
12     13       australia     0       0       2      2
13     14         belarus     0       0       2      2
14     15          france     0       0       2      2
15     16          mexico     0       0       2      2
16     17         armenia     0       0       1      1
17     18      kazakhstan     0       0       1      1
18     18     philippines     0       0       1      1
19     20         vietnam     0       0       1      1
20  total           total    16      16      32     64
