    district            incumbent       party  first elected                             result                                     candidates
0    texas 1        wright patman  democratic           1928                       re - elected  wright patman (d) 98.8% joe c hailey (r) 1.2%
1    texas 2     martin dies , jr  democratic           1930                       re - elected                 martin dies , jr (d) unopposed
2    texas 3     morgan g sanders  democratic           1920  lost renomination democratic hold                lindley beckworth (d) unopposed
3    texas 4          sam rayburn  democratic           1912                       re - elected  sam rayburn (d) 97.9% ross e johnson (r) 2.1%
4    texas 6     luther a johnson  democratic           1922                       re - elected                 luther a johnson (d) unopposed
5    texas 7           nat patton  democratic           1934                       re - elected                       nat patton (d) unopposed
6    texas 9   joseph j mansfield  democratic           1916                       re - elected               joseph j mansfield (d) unopposed
7   texas 10     lyndon b johnson  democratic           1937                       re - elected                 lyndon b johnson (d) unopposed
8   texas 11      william r poage  democratic           1936                       re - elected  william r poage (d) 98.6% d e wooley (r) 1.4%
9   texas 12       fritz g lanham  democratic           1919                       re - elected                   fritz g lanham (d) unopposed
10  texas 13  william d mcfarlane  democratic           1932  lost renomination democratic hold    ed gossett (d) 98.6% adolph lohman (r) 1.4%
11  texas 14    richard m kleberg  democratic           1931                       re - elected                richard m kleberg (d) unopposed
12  texas 15        milton h west  democratic           1933                       re - elected                    milton h west (d) unopposed
13  texas 16     r ewing thomason  democratic           1930                       re - elected                 r ewing thomason (d) unopposed
14  texas 17      clyde l garrett  democratic           1936                       re - elected                  clyde l garrett (d) unopposed
15  texas 18    john marvin jones  democratic           1916                       re - elected                john marvin jones (d) unopposed
16  texas 19       george h mahon  democratic           1934                       re - elected                   george h mahon (d) unopposed
