    draw          language                            artist                                      song    english translation  place  points
0      1            german                        marty brem                           wenn du da bist     when you 're there     17      20
1      2           turkish      modern folk trio and ayşegül                               dönme dolap           the carousel     18       9
2      3            german                     lena valaitis                               johnny blue                      -      2     132
3      4            french              jean - claude pascal          c'est peut - être pas l'amérique  it may not be america     11      41
4      5            hebrew                 hakol over habibi                           halayla (הלילה)                tonight      7      56
5      6            danish  tommy seebach and debbie cameron                          krøller eller ej           curls or not     11      41
6      7  serbo - croatian                  seid memić vajta                                     lejla                  leila     15      35
7      8           finnish                        riki sorsa                                 reggae ok                      -     16      27
8      9            french                      jean gabilou                                 humanahum                      -      3     125
9     10           spanish                         bacchelli                                 y sólo tú           and only you     14      38
10    11             dutch                    linda williams                         het is een wonder         it 's a wonder      9      51
11    12           english                            sheeba                                horoscopes                      -      5     105
12    13         norwegian                       finn kalvik                             aldri i livet       never in my life     20       0
13    14           english                        bucks fizz                       making your mind up                      -      1     136
14    15        portuguese                      carlos paião                                  playback                      -     18       9
15    16             dutch                        emly starr                                    samson                      -     13      40
16    17             greek                  yiannis dimitras  feggari kalokerino (φεγγάρι καλοκαιρινό)            summer moon      8      55
17    18             greek                            island                           monika (μόνικα)                 monica      6      69
18    19           italian              peter , sue and marc                               io senza te         me without you      4     121
19    20           swedish                       björn skifs                          fångad i en dröm    captured in a dream     10      50
