   class                    team             driver       chassis - engine  laps
0     c1         silk cut jaguar        raul boesel         jaguar xjr - 8    77
1     c1       liqui moly equipe    jonathan palmer          porsche 962 c    77
2     c1         brun motorsport        jochen mass          porsche 962 c    76
3     c1            joest racing    stanley dickens          porsche 962 c    75
4     c1    primagaz competition        pierre yver          porsche 962 c    72
5     c2  swiftair ecurie ecosse       david leslie     ecosse c286 - ford    72
6     c2       spice engineering       gordon spice     spice se86c - ford    71
7     c2       tiga ford denmark       john sheldon      tiga gc287 - ford    70
8     c2       spice engineering         nick adams     spice se87c - ford    70
9     c1         brun motorsport       jésus pareja          porsche 962 c    70
10    c2           kelmar racing  ranieri randaccio       tiga gc85 - ford    69
11    c2         schanche racing    martin schanche  argo jm19b - zakspeed    64
12    c1   porsche kremer racing        kris nissen          porsche 962 c    75
13    c1  blaupunkt joest racing       klaus ludwig          porsche 962 c    77
14    c1              porsche ag         derek bell          porsche 962 c    61
15    c2  swiftair ecurie ecosse         mike wilds     ecosse c286 - ford    25
