            county  per capita income  median household income  median family income  population  number of households
0         beaufort              32731                    55286                 65071      162233                 64945
1       charleston              29401                    48433                 61525      350209                144309
2    united states              27334                    51914                 62982   308745538             116716292
3        lexington              26393                    52205                 64630      262391                102733
4       greenville              25931                    46830                 59043      451225                176531
5         richland              25805                    47922                 61622      384504                145194
6             york              25707                    51925                 65188      226073                 85864
7            horry              24811                    43142                 51608      269291                112225
8       dorchester              24497                    55034                 63847      136555                 50259
9            aiken              24172                    44468                 57064      160099                 64253
10          oconee              24055                    42266                 52332       74273                 30676
11      georgetown              23942                    42666                 54115       60158                 24524
12  south carolina              23443                    43939                 54223     4625364               1801181
13        berkeley              22865                    50777                 56869      177843                 65419
14        anderson              22117                    42871                 53229      187126                 73829
15        florence              21932                    40487                 48896      136885                 52653
16     spartanburg              21924                    42680                 53149      284307                109246
17         kershaw              21777                    44064                 53053       61697                 23928
18       greenwood              21728                    38797                 49785       69661                 27547
19        newberry              21410                    41815                 49560       37508                 14709
20         calhoun              20845                    36790                 51975       15175                  6080
21         pickens              20647                    41898                 53911      119224                 45228
22      darlington              20096                    38379                 46894       68681                 26531
23       edgefield              19901                    42834                 57114       26985                  9348
24          marion              19411                    35858                 43021       33062                 13058
25       lancaster              19308                    38959                 46388       76652                 29697
26          sumter              18944                    39137                 45460      107456                 40398
27       fairfield              18877                    32022                 40849       23956                  9419
28         laurens              18757                    37529                 45769       66537                 25525
29          saluda              18717                    40508                 45173       19875                  7527
30           union              18495                    33470                 42537       28961                 11974
31          jasper              17997                    37393                 45800       24777                  8517
32        cherokee              17862                    34132                 46164       55342                 21519
33        colleton              17842                    33263                 40955       38892                 15131
34         chester              17687                    32743                 42074       33140                 12876
35        barnwell              17592                    33816                 41764       22621                  8937
36      orangeburg              17579                    32849                 40332       92501                 35788
37    chesterfield              17162                    32979                 41225       46734                 18173
38       abbeville              16653                    33143                 45147       25417                  9990
39        marlboro              16653                    30629                 38043       28933                 10383
40       clarendon              16562                    33066                 40492       34971                 13132
41         hampton              16262                    34846                 43234       21090                  7598
42         bamberg              16236                    32538                 41625       15987                  6048
43          dillon              14684                    26818                 34693       32062                 11923
44       allendale              14190                    20081                 25146       10419                  3706
45       mccormick              13817                    27688                 32485       10233                  4027
46    williamsburg              13513                    24191                 33705       34423                 13007
47             lee              12924                    23378                 35279       19220                  6797
