           year                driver   constructor       category    location    report
0          1958         stirling moss       vanwall    formula one  ain - diab    report
1          1957            jean behra      maserati    formula one  ain - diab    report
2          1956   maurice trintignant       ferrari    sports cars      agadir    report
3          1955          mike sparken       ferrari    sports cars      agadir    report
4          1954       giuseppe farina       ferrari    sports cars      agadir    report
5   1953 - 1935              not held      not held       not held    not held  not held
6          1934          louis chiron    alfa romeo  s touring car        anfa    report
7          1933              not held      not held       not held    not held  not held
8          1932         marcel lehoux       bugatti  s touring car        anfa    report
9          1931  stanisław czaykowski       bugatti  s touring car        anfa    report
10         1930       charles bénitah       amilcar  s touring car        anfa    report
11         1929              not held      not held       not held    not held  not held
12         1928               e meyer       bugatti  s touring car  casablanca    report
13         1927                g roll  georges irat  s touring car  casablanca    report
14         1926              r meyerl       bugatti  s touring car  casablanca    report
15         1925     comte de vaugelas        delage  s touring car  casablanca    report
