    rnd                                         race name       pole position         fastest lap      winning driver          winning team  report
0     1  marlboro grand prix of miami presented by toyota       gil de ferran  juan pablo montoya           max papis            team rahal  report
1     2                   toyota grand prix of long beach       gil de ferran       gil de ferran          paul tracy            team green  report
2     3                                           rio 200       alex tagliani       alex tagliani    adrián fernández        patrick racing  report
3     4                            firestone firehawk 500  juan pablo montoya  juan pablo montoya    michael andretti  newman / haas racing  report
4     5   bosch spark plug grand prix presented by toyota  juan pablo montoya   hélio castroneves       gil de ferran           team penske  report
5     6                                   miller lite 225  juan pablo montoya  juan pablo montoya  juan pablo montoya   chip ganassi racing  report
6     7          tenneco automotive grand prix of detroit  juan pablo montoya   hélio castroneves   hélio castroneves           team penske  report
7     8  freightliner / gi joe 's 200 presented by texaco   hélio castroneves         kenny bräck       gil de ferran           team penske  report
8    10                               molson indy toronto   hélio castroneves    michael andretti    michael andretti  newman / haas racing  report
9    11                  michigan 500 presented by toyota          paul tracy  juan pablo montoya  juan pablo montoya   chip ganassi racing  report
10   12          target grand prix presented by energizer  juan pablo montoya    adrián fernández  cristiano da matta       ppi motorsports  report
11   13                                   miller lite 200       gil de ferran    dario franchitti   hélio castroneves           team penske  report
12   14                                      motorola 220    dario franchitti          paul tracy          paul tracy            team green  report
13   15                             molson indy vancouver    dario franchitti  juan pablo montoya          paul tracy            team green  report
14   17                                      motorola 300  juan pablo montoya  patrick carpentier  juan pablo montoya   chip ganassi racing  report
15   18           texaco / havoline grand prix of houston       gil de ferran    michael andretti        jimmy vasser   chip ganassi racing  report
16   19                                    honda indy 300  juan pablo montoya        jimmy vasser    adrián fernández        patrick racing  report
