                   player  minutes  field goals  rebounds  assists  steals  blocks  points
0          lauren jackson     1176          206       313       57      36      67     597
1                sue bird     1020          130        72      176      29       6     364
2            betty lennox      800          123       124       57      35       5     346
3            janell burse      859          127       199       23      19      40     340
4   iziane castro marques      879           93        97       49      18       4     269
5           suzy batkovic      461           76        94       26      17      24     199
6          tanisha wright      528           49        57       53      18       3     122
7          francesca zara      413           34        39       51      16       1      90
8         alicia thompson      329           32        45       14       4       4      83
9          simone edwards      201           24        31        3       4       2      55
10    natalia vodopyanova       98            8        20       10       3       2      25
11      mandisa stevenson       53            3         6        1       2       0       6
