   position  jersey                   name  height (cm)  weight (kg)            birthdate                          birthplace               previous club / team
0         g      30            mike curran          175           78      april , 14 1944     international falls , minnesota  minnesota fighting saints ( wha )
1         g       1          pete lopresti          183           91        may 23 , 1954                virginia , minnesota              minnesota north stars
2         g      35             cap raeder          183           82     october 8 , 1953             needham , massachusetts        new england whalers ( wha )
3         d       5          mike christie          183           86   december 20 , 1949                  big spring , texas                   california seals
4         d      20            lee fogolin          183           91    february 7 , 1955                  chicago , illinois                     buffalo sabres
5         d       7           mike milbury          185           93       june 17 , 1952            brighton , massachusetts                      boston bruins
6         d       2             bill nyrop          188           93       july 23 , 1952                     washington , dc                 montreal canadiens
7         d       4           gary sargent          178           91   february 18 , 1954                red lake , minnesota                  los angeles kings
8     d / f       3          rick chartraw          183           93       july 13 , 1954                 caracas , venezuela                 montreal canadiens
9     d / f      23              lou nanne          183           82        june 2 , 1941  sault ste marie , ontario , canada              minnesota north stars
10    f / d      18              joe noris          183           84    october 26 , 1951                   denver , colorado         san diego mariners ( wha )
11       lw      14           curt bennett          191           89      march 27 , 1948      regina , saskatchewan , canada                     atlanta flames
12       lw      29        alan hangsleben          185           89   february 22 , 1953                 warroad , minnesota        new england whalers ( wha )
13       lw      12           steve jensen          188           86      april 14 , 1955             minneapolis , minnesota              minnesota north stars
14       lw       9       gerry o'flaherty          175           79     august 31 , 1950           pittsburgh , pennsylvania                  vancouver canucks
15        c      17         harvey bennett          193           98      august 9 , 1952             cranston , rhode island                pittsburgh penguins
16        c      32         doug palazzari          165           77    november 3 , 1952                 eveleth , minnesota            providence reds ( ahl )
17       rw      34             fred ahern          183           82   february 12 , 1952              boston , massachusetts                   california seals
18       rw      19          craig patrick          185           86        may 20 , 1946                  detroit , michigan                 kansas city scouts
19       rw      15          dean talafous          193           82     august 25 , 1953                  duluth , minnesota              minnesota north stars
20       rw      28  warren butch williams          180           89  september 11 , 1952                  duluth , minnesota                   california seals
21        f      21             dan bolduc          175           86       april 6 , 1953                  waterville , maine        new england whalers ( wha )
22        f       8          robbie ftorek          178           70     january 2 , 1952             needham , massachusetts        phoenix roadrunners ( wha )
23        f      33            mike polich          173           77   december 19 , 1952                 hibbing , minnesota      nova scotia voyageurs ( ahl )
