                               player    nationality          position         from  school / country
0                        robert sacre         canada            center         2012           gonzaga
1                         john salley  united states  forward / center         1999      georgia tech
2   samake , soumaila soumaila samake           mali            center         2002              mali
3                       jamal sampson  united states  forward / center         2003        california
4                          frank saul  united states   guard / forward         1951        seton hall
5                       herm schaefer  united states   guard / forward         1948           indiana
6                       danny schayes  united states            center         1993          syracuse
7                     dick schnittker  united states           forward         1953        ohio state
8                       howie schultz  united states  forward / center         1951           hamline
9                         byron scott  united states             guard  1983 , 1996     arizona state
10                      charlie scott  united states   guard / forward         1977    north carolina
11                         shea seals  united states             guard         1997             tulsa
12                        frank selvy  united states   guard / forward         1959            furman
13                     ramon sessions  united states             guard         2012            nevada
14                         brian shaw  united states             guard         1999  uc santa barbara
15                           bob sims  united states   guard / forward         1961        pepperdine
16                       whitey skoog  united states             guard         1951         minnesota
17                        bobby smith  united states             guard         1959     west virginia
18                          don smith  united states   guard / forward         1948         minnesota
19                       elmore smith  united states            center         1973    kentucky state
20                          joe smith  united states           forward         2010          maryland
21                         tony smith  united states             guard         1990         marquette
22                         mike smrek         canada            center         1986          canisius
23                       rory sparrow  united states             guard         1991         villanova
24                      art spoelstra  united states            center         1957  western kentucky
25                      larry spriggs  united states           forward         1983            howard
26                       derek strong  united states  forward / center         1995            xavier
27                         gene stump  united states   guard / forward         1949            depaul
28                     don sunderlage  united states             guard         1954          illinois
