    round                     dates                  rally name    rally hq    support category                      surface
0       1          11 - 14 february                rally sweden    karlstad         pwrc / swrc  ice and snow covered gravel
1       2               5 - 7 march         corona rally mexico        león         pwrc / swrc                       gravel
2       3               1 - 3 april                jordan rally       amman         pwrc / swrc                       gravel
3       4             16 - 18 april             rally of turkey    istanbul                jwrc     gravel with some asphalt
4       5                 7 - 9 may           rally new zealand    auckland         pwrc / swrc     gravel with some asphalt
5       6               28 - 30 may  vodafone rally de portugal        faro         jwrc / swrc                       gravel
6       7               9 - 11 july              rally bulgaria    borovets                jwrc                      asphalt
7       8              29 - 31 july     neste oil rally finland   jyväskylä         pwrc / swrc                       gravel
8       9            20 - 22 august      adac rally deutschland       trier  jwrc / pwrc / swrc                      asphalt
9      10         10 - 12 september                 rally japan     sapporo         pwrc / swrc                       gravel
10     11  30 september - 3 october            rallye de france  strasbourg  jwrc / pwrc / swrc                      asphalt
11     12           22 - 24 october        racc rally de espana       salou                jwrc     asphalt with some gravel
12     13          11 - 14 november              wales rally gb     cardiff         pwrc / swrc                       gravel
