   year     qual      rank    finish      laps
0  1950  130.928        17        32        25
1  1956  144.471         6         5       200
2  1957  140.780  withdrew  withdrew  withdrew
3  1958  145.974         1        27         0
4  1959  144.248         5        20       150
5  1960  145.543         6        31        42
6  1961  146.033         8        13       164
7  1962  147.161        13        24        51
8  1963  149.130        14        10       200
9  1964  151.860        17         7       197
