   chapter                          university             city           state      conference  founding date    status
0        α                 university of texas           austin           texas          big 12           1985    active
1        β          texas christian university       fort worth           texas          big 12           1989    active
2        γ              texas a & m university  college station           texas             sec           1994    active
3        δ         stephen f austin university      nacogdoches           texas       southland           1995  inactive
4        ε          houston baptist university          houston           texas       southland           1997    active
5        ζ              texas state university       san marcos           texas        sun belt           1997    active
6        η               texas tech university          lubbock           texas          big 12           1998    active
7        θ           university of north texas           denton           texas  conference usa           1999    active
8        ι                   baylor university             waco           texas          big 12           2000    active
9        κ              university of oklahoma           norman        oklahoma          big 12           2000    active
10       λ        sam houston state university       huntsville           texas       southland           2001  inactive
11       μ       southern methodist university           dallas           texas        american           2003    active
12       ν               vanderbilt university        nashville       tennessee             sec           2003    active
13       ξ              university of arkansas     fayetteville        arkansas             sec           2004    active
14       ο        mississippi state university       starkville     mississippi             sec           2005    active
15       π               university of georgia           athens         georgia             sec           2005    active
16       ρ           oklahoma state university       stillwater        oklahoma          big 12           2005    active
17       σ              university of missouri         columbia        missouri             sec           2006    active
18       τ  university of southern mississippi      hattiesburg     mississippi  conference usa           2007  inactive
19       υ               university of florida      gainesville         florida             sec           2007    active
20       φ              university of colorado          boulder        colorado        pac - 12           2007  inactive
21       χ           university of mississippi           oxford     mississippi             sec           2007    active
22       ψ          louisiana state university      baton rouge       louisiana             sec           2008    active
23       ω                   auburn university           auburn         alabama             sec           2008    active
24      αα                 nc state university          raleigh  north carolina             acc           2009    active
25      αβ                university of kansas         lawrence          kansas          big 12           2009    active
26      αγ      university of central arkansas           conway        arkansas       southland           2010    active
27      αδ        southern arkansas university         magnolia        arkansas  great american           2010    active
28      αe      university of central oklahoma           edmond        oklahoma            miaa           2011    active
29      az             university of tennessee        knoxville       tennessee             sec           2012    active
30      αh                  clemson university          clemson  south carolina             acc           2012    active
31      αθ                     yale university        new haven     connecticut             ivy           2012    active
32      αi               university of alabama       tuscaloosa         alabama             sec           2013    active
