         time                     name     nationality                 date         event / place       source
0       67:01  brian hill - cottingham  united kingdom       april 9 , 1960               romford         arrs
1       65:44                 ron hill  united kingdom       june 19 , 1965            freckleton  iaaf , arrs
2       65:42              pete ravald  united kingdom       june 18 , 1966            freckleton  iaaf , arrs
3   64:28 a +             abebe bikila        ethiopia    october 21 , 1964                 tokyo         iaaf
4   63:22 a +            derek clayton       australia    december 3 , 1967      fukuoka marathon         iaaf
5       64:45                 ron hill  united kingdom       june 21 , 1969            freckleton  iaaf , arrs
6       63:53             derek graham  united kingdom         may 2 , 1970               belfast  iaaf , arrs
7       63:46  juan rafael angel perez      costa rica    february 8 , 1976                 coamo  iaaf , arrs
8       63:46              jose reveyn         belgium      march 27 , 1976             the hague         iaaf
9       62:57            miruts yifter        ethiopia    february 6 , 1977                 coamo         iaaf
10      62:37      toshihiro matsumoto           japan    february 6 , 1977          beppu , ōita         arrs
11      62:47             tony simmons  united kingdom       june 24 , 1978    welwyn garden city         iaaf
12      62:36                nick rose  united kingdom    october 14 , 1979                dayton  iaaf , arrs
13      62:32             kirk pfeffer   united states    december 7 , 1979             las vegas  iaaf , arrs
14      62:16               stan mavis   united states    january 27 , 1980           new orleans  iaaf , arrs
15      61:47             herb lindsay   united states  september 20 , 1981  manchester , vermont         iaaf
16      61:36             mike musyoki           kenya  september 19 , 1982          philadelphia  iaaf , arrs
17      61:32            paul cummings   united states  september 25 , 1983                dayton  iaaf , arrs
18      61:14              steve jones  united kingdom     august 11 , 1985            birmingham  iaaf , arrs
19      60:55                mark curp   united states  september 15 , 1985          philadelphia  iaaf , arrs
20    60:43 a             mike musyoki           kenya        june 8 , 1986         south shields         iaaf
21    60:10 a          matthews temane    south africa       july 25 , 1987           east london         iaaf
22      60:46           dionicio ceron          mexico  september 16 , 1990          philadelphia         arrs
23    60:06 a         steve moneghetti       australia    january 24 , 1993                 tokyo         iaaf
24      60:24             benson masya           kenya       april 3 , 1993             the hague         arrs
25      59:47              moses tanui           kenya       april 3 , 1993                 milan         iaaf
26      60:13              paul tergat           kenya      april 15 , 1993                 milan         arrs
27      59:56             shem kororia           kenya     october 4 , 1997                košice         arrs
28    59:43 a            antónio pinto        portugal      march 15 , 1998                lisbon         iaaf
29      59:17              paul tergat           kenya       april 4 , 1998                 milan  iaaf , arrs
30    59:06 a              paul tergat           kenya      march 26 , 2000                lisbon         iaaf
31      59:16           samuel wanjiru           kenya  september 11 , 2005             rotterdam  iaaf , arrs
32    59:05 a          zersenay tadese         eritrea  september 18 , 2005         south shields         iaaf
33      58:55       haile gebrselassie        ethiopia    january 15 , 2006                 tempe         iaaf
34      59:07     paul kosgei malakwen           kenya       april 2 , 2006                berlin         arrs
35      58:53           samuel wanjiru           kenya    february 9 , 2007      ras al - khaimah  iaaf , arrs
36      58:33           samuel wanjiru           kenya      march 17 , 2007             the hague  iaaf , arrs
37      58:23          zersenay tadese         eritrea      march 21 , 2010                lisbon  iaaf , arrs
