    year                               single  chr chart peak                          album                                           composer (s)
0   1978                              sail on               3                        sail on                                        chris christian
1   1978                          water grave              14                        sail on                                  steve & annie chapman
2   1979                            overcomer              15                  heed the call                                         james hollihan
3   1979                      praise the lord               1                  heed the call                          brown bannister / mike hudson
4   1979                            oh buddha               1                  heed the call                                            mark farrow
5   1980                what i can do for you              12          one more song for you                             michael & stormie omartian
6   1980                         i'm forgiven               1          one more song for you  michael omartian / bruce hibbard / hadley hockensmith
7   1980                one more song for you              10          one more song for you                             michael & stormie omartian
8   1981            i'd rather believe in you               5                       priority                             michael & stormie omartian
9   1981              finish what you started               2                       priority                    russ & tori taff / michael omartian
10  1981                 the trumpet of jesus               1                       priority                             michael & stormie omartian
11  1981                     be still my soul              19                       priority                                       russ & tori taff
12  1983                  lord of the harvest               1             stand by the power                     paul smith , james newton - howard
13  1983                         somebody new               9             stand by the power                                             paul smith
14  1983               because of who you are               1             stand by the power                             bob farrell / billy smiley
15  1984                   wait upon the lord               1                   side by side             paul smith / ragan courtney / keith thomas
16  1984               you 're the only jesus              20                   side by side                                          gordon jensen
17  1984              make my heart your home              13                   side by side                              paul smith / keith thomas
18  1985                    let the wind blow               1              let the wind blow                                           david martin
19  1986                 in the promised land               9              let the wind blow                                            chris eaton
20  1987                       devoted to you               7             this year 's model                             ron hemby / stephen bashaw
21  1987                        wings of love               1             this year 's model                                           paul c smith
22  1988                        free the fire               1                  free the fire                             michael & stormie omartian
23  1989                             the boss              16                  free the fire                                       jimmie lee sloas
24  1989                                  you               6                  free the fire           randy goodrum / robbie buchanan / jimmie lee
25  1990                     big ball turning               1  love 's still changing hearts                         butch stewart / brenda blonski
26  1990               it 's gonna be alright               4  love 's still changing hearts                                              ron hemby
27  1990                    come into my life              12  love 's still changing hearts                  paul chiten / pamela phillips - oland
28  1991                        original love              13  love 's still changing hearts                                            keith brown
29  1993         taking your love for granted               1                     stir it up                                       michael peterson
30  2008  we™ve got a great big wonderful god               3              back to the roots                                            tim spencer
31  2008         all that matters to the lord               9              back to the roots               marty funderburk / twila mcbride - labar
