      date                         course  distance                  winner            race leader
0    6 may                 milan to turin         -   learco guerra ( ita )  learco guerra ( ita )
1    7 may                 turin to genoa         -   alfredo binda ( ita )  alfredo binda ( ita )
2    8 may                  genoa to pisa         -   learco guerra ( ita )  alfredo binda ( ita )
3    9 may                       rest day  rest day                rest day               rest day
4   10 may               pisa to florence         -   giuseppe olmo ( ita )  alfredo binda ( ita )
5   11 may           florence to grosseto         -   learco guerra ( ita )  jef demuysere ( bel )
6   12 may               grosseto to rome         -  mario cipriani ( ita )  jef demuysere ( bel )
7   13 may                       rest day  rest day                rest day               rest day
8   14 may                 rome to naples         -   gerard loncke ( bel )  jef demuysere ( bel )
9   15 may               naples to foggia         -   alfredo binda ( ita )  alfredo binda ( ita )
10  16 may                       rest day  rest day                rest day               rest day
11  17 may               foggia to chieti         -   alfredo binda ( ita )  alfredo binda ( ita )
12  18 may        chieti to ascoli piceno         -   alfredo binda ( ita )  alfredo binda ( ita )
13  19 may                       rest day  rest day                rest day               rest day
14  20 may      ascoli piceno to riccione         -  fernand cornez ( fra )  alfredo binda ( ita )
15  21 may            riccione to bologna         -   giuseppe olmo ( ita )  alfredo binda ( ita )
16  22 may             bologna to ferrara         -   alfredo binda ( ita )  alfredo binda ( ita )
17  23 may                       rest day  rest day                rest day               rest day
18  24 may               ferrara to udine         -    ettore meini ( ita )  alfredo binda ( ita )
19  25 may    udine to bassano del grappa         -    ettore meini ( ita )  alfredo binda ( ita )
20  26 may  bassano del grappa to bolzano         -   gerard loncke ( bel )  alfredo binda ( ita )
21  27 may                       rest day  rest day                rest day               rest day
22  28 may               bolzano to milan         -   alfredo binda ( ita )  alfredo binda ( ita )
23   total                              -   km (mi)                       -                km (mi)
