   round  overall          player          position        college
0      1       18  robert edwards      running back        georgia
1      1       22   tebucky jones            safety       syracuse
2      2       52    tony simmons     wide receiver      wisconsin
3      2       54    rod rutledge         tight end        alabama
4      3       81     chris floyd          fullback       michigan
5      3       83     greg spires     defensive end  florida state
6      4      115   leonta rheams  defensive tackle        houston
7      5      145   ron merkerson        linebacker       colorado
8      6      176     harold shaw          fullback  southern miss
9      7      211  jason andersen   offensive guard            byu
