    pick               player                   team                position                                  school
0      1      timothy beckham   tampa bay devil rays               shortstop              griffin high school ( ga )
1      2        pedro álvarez     pittsburgh pirates           third baseman                              vanderbilt
2      3          eric hosmer     kansas city royals           first baseman         american heritage school ( fl )
3      4         brian matusz      baltimore orioles   left - handed pitcher                               san diego
4      5         buster posey   san francisco giants                 catcher                           florida state
5      6       kyle skipworth        florida marlins                 catcher              patriot high school ( ca )
6      7        yonder alonso        cincinnati reds           first baseman                              miami (fl)
7      8       gordon beckham      chicago white sox               shortstop                                 georgia
8      9           aaron crow   washington nationals  right - handed pitcher                                missouri
9     10         jason castro         houston astros                 catcher                                stanford
10    11         justin smoak          texas rangers           first baseman                          south carolina
11    12         jemile weeks      oakland athletics          second baseman                              miami (fl)
12    13        brett wallace     st louis cardinals           third baseman                           arizona state
13    14          aaron hicks        minnesota twins              outfielder       woodrow wilson high school ( ca )
14    15         ethan martin    los angeles dodgers  right - handed pitcher      stephens county high school ( ga )
15    16         brett lawrie      milwaukee brewers                 catcher  brookswood secondary school ( canada )
16    17         david cooper      toronto blue jays           first baseman                              california
17    18            ike davis          new york mets           first baseman                           arizona state
18    19       andrew cashner           chicago cubs  right - handed pitcher                                     tcu
19    20          josh fields       seattle mariners  right - handed pitcher                                 georgia
20    21           ryan perry         detroit tigers  right - handed pitcher                                 arizona
21    22         reese havens          new york mets               shortstop                          south carolina
22    23        allan dykstra       san diego padres           first baseman                             wake forest
23    24       anthony hewitt  philadelphia phillies               shortstop                 salisbury school ( ct )
24    25  christian friedrich       colorado rockies   left - handed pitcher                        eastern kentucky
25    26     daniel schlereth   arizona diamondbacks   left - handed pitcher                                 arizona
26    27     carlos gutierrez        minnesota twins  right - handed pitcher                              miami (fl)
27    28          gerrit cole       new york yankees  right - handed pitcher      orange lutheran high school ( ca )
28    29    lonnie chisenhall      cleveland indians               shortstop           pitt community college ( nc )
29    30          casey kelly         boston red sox  right - handed pitcher             sarasota high school ( fl )
