    municipality  number  population     area  density square
0          malmö       1      309912   335.14          925.00
1       vellinge       2       33725   143.18          236.00
2     trelleborg       3       42744   342.07          125.00
3         skurup       4       15000   195.17           77.00
4        svedala       5       20039   218.97           92.00
5           lund       6      112925   430.27          262.00
6   staffanstorp       7       22572   107.61          210.00
7         burlöv       8       17079    18.84          907.00
8          lomma       9       22415    55.64          403.00
9       kävlinge      10       29513   153.83          192.00
10         eslöv      11       31761   421.66           75.00
11          höör      12       15591   292.96           53.00
12         total      12      673276  2715.34          247.95
