    2006  2007  2008  2009  2010
0   20.0  19.9  20.4  20.0  20.7
1   17.5  17.6  17.2  16.9  16.4
2    6.9   7.1   6.9   6.9   6.9
3    8.2   7.5   6.8   6.5   6.4
4    4.9   4.6   4.7   4.7   4.6
5    2.0   2.0   1.9   2.1   1.9
6    1.4   1.3   1.6   1.7   2.0
7    1.7   1.7   1.4   1.4   1.1
8    1.2   1.3   1.3   1.3   1.2
9    1.0   1.1   1.2   1.3   1.4
10   1.7   1.1   1.0   1.2   0.9
11   1.4   1.3   1.2   1.2   1.2
12   0.6   0.7   0.9   1.1   1.0
13   0.4   0.6   1.1   1.0   0.9
14   0.4   0.7   0.9   0.9   1.0
15   0.6   0.7   0.8   0.8   1.0
16   0.8   0.6   0.5   0.6   0.5
17   1.0   0.7   0.6   0.5   0.5
18   0.4   0.5   0.5   0.5   0.4
19   0.5   0.5   0.4   0.5   0.6
20   0.5   0.5   0.4   0.5   0.4
21   0.3   0.3   0.2   0.2   0.2
22   0.3   0.3   0.3   0.2   0.2
23   0.3   0.2   0.2   0.2   0.2
24   0.4   0.2   0.2   0.1   0.1
25   0.3   0.2   0.1   0.1   0.1
26   0.2   0.2   0.2   0.1   0.1
27   0.2   0.2   0.1   0.1   0.1
