     rank          nation  gold  silver  bronze  total
0       1    soviet union    11       2       4     17
1       2          poland     3       2       1      6
2       3    east germany     2       0       2      4
3       4        bulgaria     1       6       4     11
4       5         romania     1       3       1      5
5       6   united states     1       0       3      4
6       7          sweden     1       0       0      1
7       8      yugoslavia     0       1       2      3
8       9            cuba     0       1       1      2
9       9         hungary     0       1       1      2
10     11          canada     0       1       0      1
11     11  czechoslovakia     0       1       0      1
12     11           japan     0       1       0      1
13     11          turkey     0       1       0      1
14     15     south korea     0       0       1      1
15  total           total    20      20      20     60
