                          actor          character        soap opera                years  duration
0                patrizio rispo  raffaele giordano  un posto al sole                1996-  18 years
1                luisa amatucci    silvia graziani  un posto al sole                1996-  18 years
2                 alberto rossi    michele saviani  un posto al sole                1996-  18 years
3              germano bellavia      guido del bue  un posto al sole                1996-  18 years
4               marzio honorato       renato poggi  un posto al sole                1996-  18 years
5             carmen scivittaro     teresa diacono  un posto al sole                1998-  16 years
6                   peppe zarbo      franco boschi  un posto al sole                1998-  16 years
7            marina tagliaferri       giulia poggi  un posto al sole  1996 - 2008 , 2011-  15 years
8                 claudia ruffo       angela poggi  un posto al sole  1996 - 2007 , 2010-  15 years
9                    luca turco         niko poggi  un posto al sole                1999-  15 years
10              ilenia lazzarin        viola bruni  un posto al sole                2001-  13 years
11        marina giulia cavalli      ornella bruni  un posto al sole                2001-  13 years
12  riccardo polizzy carbonelli      roberto ferri  un posto al sole                2001-  13 years
13           elisabetta coraini     laura beccaria      centovetrine                2001-  13 years
14              pietro genuardi       ivan bettini      centovetrine                2001-  13 years
15               sergio troiano    valerio bettini      centovetrine                2001-  13 years
16                 nina soldano    marina giordano  un posto al sole                2003-  11 years
17               delia boccardo        tilly nardi       incantesimo          1998 - 2008  10 years
