                     tournament                         2003                         2004                         2005                         2006                         2007                         2008                         2009                         2010                         2011                         2012
0        grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments
1               australian open                            a                            a                            a                            a                            a                            a                            a                           q2                           1r                           1r
2                   french open                            a                            a                            a                            a                            a                            a                           2r                           q2                           1r                           1r
3                     wimbledon                            a                            a                            a                            a                            a                           q1                           q2                           q1                           q1                           1r
4                       us open                            a                            a                            a                            a                            a                           2r                           1r                           q2                           1r                           1r
5                    win - loss                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        1 - 1                        1 - 2                        0 - 0                        0 - 3                        0 - 4
6         atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals
7                   tour finals                            a                            a                            a                            a                            a                            a                            a                            a                            a                            a
8             davis cup singles            davis cup singles            davis cup singles            davis cup singles            davis cup singles            davis cup singles            davis cup singles            davis cup singles            davis cup singles            davis cup singles            davis cup singles
9                     davis cup                           z2                           z2                           z2                           z1                           z1                           z2                           z2                           z2                           z1                           z1
10                olympic games                olympic games                olympic games                olympic games                olympic games                olympic games                olympic games                olympic games                olympic games                olympic games                olympic games
11                       summer                           nh                            a                     not held                     not held                     not held                            a                     not held                     not held                     not held                            a
12  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000
13                 indian wells                            a                            a                            a                            a                            a                            a                            a                            a                            a                           1r
14                        miami                            a                            a                            a                            a                            a                            a                           q1                           q1                            a                            a
15                  monte carlo                            a                            a                            a                            a                            a                            a                            a                            a                           q1                            a
16                   win - loss                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 1
17            career statistics            career statistics            career statistics            career statistics            career statistics            career statistics            career statistics            career statistics            career statistics            career statistics            career statistics
18       atp tournaments played                            0                            0                            1                            0                            0                            2                            4                            2                           12                           13
19           atp finals reached                            0                            0                            0                            0                            0                            0                            0                            0                            0                            0
20          atp tournaments won                            0                            0                            0                            0                            0                            0                            0                            0                            0                            0
21        statistics by surface        statistics by surface        statistics by surface        statistics by surface        statistics by surface        statistics by surface        statistics by surface        statistics by surface        statistics by surface        statistics by surface        statistics by surface
22              hard win - loss                        0 - 1                        0 - 1                        0 - 0                        1 - 1                        0 - 1                        1 - 2                        0 - 2                        0 - 0                        0 - 3                        0 - 6
23              clay win - loss                        0 - 0                        0 - 1                        2 - 3                        0 - 0                        0 - 0                        1 - 1                        3 - 3                        6 - 3                        5 - 9                        1 - 7
24             grass win - loss                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 1
25            carpet win - loss                        0 - 0                        0 - 0                        0 - 1                        0 - 0                        0 - 1                        1 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 0
26           overall win - loss                        0 - 1                        0 - 2                        2 - 4                        1 - 1                        0 - 2                        3 - 3                        3 - 5                        6 - 3                       5 - 12                       1 - 14
27                      win (%)                           0%                           0%                          33%                          50%                           0%                          50%                          38%                          67%                          29%                           7%
28           year - end ranking                          833                          393                          259                          893                          733                          153                          124                           93                           68                          306
