    year                            event                         location                       perpetrator (s)     deaths
0   1871       attack on the mosel (ship)                      bremerhaven                  alexander keith , jr         80
1   1910        los angeles times bombing                      los angeles  john j mcnamara and james b mcnamara         21
2   1916         preparedness day bombing                    san francisco                         labor leaders         10
3   1920              wall street bombing                    new york city                anarchists (suspected)         38
4   1939                 bürgerbräukeller                           munich                           georg elser          7
5   1942                  st nazaire raid    st nazaire , france (wartime)        royal navy , british commandos        590
6   1944                        july plot  wolf 's lair , poland (wartime)                     german resistance          4
7   1955       united airlines flight 629   over longmont , colorado , usa                   jack gilbert graham         44
8   1972                aldershot bombing                   aldershot , uk                                   ira          7
9   1974                m62 coach bombing                   west yorkshire                                   ira         12
10  1974          birmingham pub bombings                  birmingham , uk                       ira (suspected)         21
11  1974           guildford pub bombings                   guildford , uk                                   ira          5
12  1977                   lucona sinking                     indian ocean                           udo proksch          6
13  1984           brighton hotel bombing                    brighton , uk                                   ira          5
14  1987            korean air flight 858                      andaman sea                           north korea  115 (all)
15  1987          remembrance day bombing   enniskillen , northern ireland                                   ira         12
16  1988                pan am flight 103       above lockerbie , scotland                                 libya        270
17  1989            deal barracks bombing                 deal , kent , uk                                   ira         11
18  1994   philippine airlines flight 434           between cebu and tokyo                          ramzi yousef          1
19  1996  centennial olympic park bombing          atlanta , georgia , usa                          eric rudolph          1
20  1998                    omagh bombing         omagh , northern ireland                                   ira         29
21  1999       russian apartment bombings       buynaksk moscow volgodonsk                                  unkn        293
22  2006            moscow market bombing                           moscow                racialist organization         13
