    pick              nfl team             player          position           college
0    225       baltimore colts          jim mills            tackle            hawaii
1    226        houston oilers       kevin potter    defensive back          missouri
2    227      los angeles rams       jack belcher            center    boston college
3    228        denver broncos      brian hawkins    defensive back    san jose state
4    229   san francisco 49ers      mike mularkey         tight end           florida
5    230         chicago bears           rob fada             guard        pittsburgh
6    231    kansas city chiefs       adam lingner            center          illinois
7    232   philadelphia eagles        rich pelzer            tackle      rhode island
8    233  new england patriots     ricky williams      running back          langston
9    234         buffalo bills      george parker      running back     norfolk state
10   235         chicago bears      mark zavagnin        linebacker        notre dame
11   236      seattle seahawks         bob clasby  defensive tackle        notre dame
12   237       new york giants  ali haji - sheikh            kicker          michigan
13   238  tampa bay buccaneers   hasson arbubakrr  defensive tackle        texas tech
14   239     minnesota vikings         rod achter     wide receiver            toledo
15   240  new england patriots          mark keel         tight end           arizona
16   241       baltimore colts         chris rose            tackle          stanford
17   242    st louis cardinals         otis brown      running back     jackson state
18   243     green bay packers          robin ham            center  west texas state
19   244   pittsburgh steelers       blake wingle             guard              ucla
20   245    san diego chargers         mike green        linebacker    oklahoma state
21   246        dallas cowboys           al gross    defensive back           arizona
22   247         new york jets     bobby humphrey     wide receiver  new mexico state
23   248    cincinnati bengals     stanley wilson      running back          oklahoma
24   249   los angeles raiders        kent jordan         tight end   st mary 's (ca)
25   250        miami dolphins         mark brown        linebacker            purdue
