    rank          nation  gold  silver  bronze  total
0      1    soviet union     7       4       1     12
1      2          brazil     4       3       2      9
2      3           japan     3       3       3      9
3      4   united states     3       3       2      8
4      5            cuba     3       0       2      5
5      6           china     2       1       2      5
6      7          russia     1       3       2      6
7      8     netherlands     1       1       0      2
8      9          poland     1       0       2      3
9     10      yugoslavia     1       0       1      2
10    11           italy     0       2       3      5
11    12    east germany     0       2       0      2
12    13        bulgaria     0       1       1      2
13    13  czechoslovakia     0       1       1      2
14    15            peru     0       1       0      1
15    15    unified team     0       1       0      1
16    17       argentina     0       0       1      1
17    17     north korea     0       0       1      1
18    17     south korea     0       0       1      1
19    17         romania     0       0       1      1
