    round  pick           player          position                  school
0       1    12    herb adderley        cornerback          michigan state
1       2    26    ron kostelnik  defensive tackle              cincinnati
2       3    40      phil nugent              back                  tulane
3       4    54      paul dudley              back                arkansas
4       4    56       joe lesage             guard                  tulane
5       5    68       jack novak             guard              miami (fl)
6       6    82      lee folkins         tight end              washington
7       7    96    lewis johnson              back             florida a&m
8       9   124  vester flanagan            tackle          humboldt state
9      10   138      buck mcleod            tackle                  baylor
10     11   152       val keckin              back           southern miss
11     12   166      john denvir            tackle                colorado
12     13   180     elijah pitts          halfback         philander smith
13     14   194   nelson toburen        linebacker           wichita state
14     15   208      ray lardani            tackle              miami (fl)
15     16   222   clarence mason               end           bowling green
16     17   236   jim brewington            tackle  north carolina central
17     18   250      arthur sims              back               texas a&m
18     19   264   leland bondhus            tackle      south dakota state
19     20   278    ray ratkowski              back              notre dame
