               calls          frequency                               branding       format      timeslot                   group owner
0               wgan            560 khz                    news radio 560 wgan  news / talk  live 3p - 6p           saga communications
1               whyn            560 khz                   news / talk 560 whyn  news / talk  live 3p - 7p  clear channel communications
2               wvmt            620 khz                   news / talk 620 wvmt  news / talk  live 3p - 7p            sison broadcasting
3               wrko            680 khz                            am 680 wrko  news / talk  live 3p - 7p                      entercom
4               wcrn            830 khz                     wcrn 830 true talk  news / talk  live 3p - 7p           carter broadcasting
5               wkbk           1290 khz                 1290 wkbk w281au 104.1  news / talk  live 3p - 6p           saga communications
6               wegp           1390 khz  wegp 1390 am - the talk of the county  news / talk  live 3p - 6p        decelles / media , inc
7               wxtk           95.1 mhz                     news radio 95 wxtk  news / talk  live 3p - 7p      qantam of cape cod , llc
8          wntk - fm           99.7 mhz                        wntk talk radio  news / talk  live 3p - 6p           koor communications
9               wuvr           1490 khz                        wntk talk radio  news / talk  live 3p - 6p           koor communications
10  wvom - fm / wvqm  103.9 / 101.3 mhz                     the voice of maine  news / talk  live 3p - 7p        blueberry broadcasting
