    pick     round           player       position             school
0      4   round 1    keith mccants     linebacker            alabama
1     30   round 2      reggie cobb   running back          tennessee
2     87   round 4    jess anderson      tight end  mississippi state
3    108   round 4    tony mayberry         center        wake forest
4    114   round 5      ian beckles          guard            indiana
5    141   round 6  derrick douglas   running back     louisiana tech
6    171   round 7   donnie gardner  defensive end           kentucky
7    224   round 9       terry cook  defensive end       fresno state
8    254  round 10       mike busch      tight end         iowa state
9    281  round 11    terry anthony  wide receiver      florida state
10   307  round 12      todd hammel    quarterback   stephen f austin
