   frequency      call sign   location                                      name / format                               owner
0     570 am           ckgl  kitchener                             570 news - news / talk               rogers communications
1    88.3 fm      cjiq - fm  kitchener                                cjiq - campus radio                   conestoga college
2    89.1 fm  cbla - fm - 2      paris                                      cbc radio one   canadian broadcasting corporation
3    91.5 fm      ckbt - fm  kitchener                       91.5 the beat - chr / top 40                 corus entertainment
4    94.3 fm      cjtw - fm  kitchener                    faith fm 94.3 - christian radio     sound of faith broadcasting inc
5    96.7 fm      chym - fm  kitchener          chym fm - light rock / adult contemporary  rogers communications rogers radio
6    98.5 fm      ckwr - fm   waterloo                     fm 98.5 ckwr - community radio                     wired world inc
7    99.5 fm      ckkw - fm   waterloo                                 kfun 99.5 - oldies                    bell media radio
8   100.3 fm      ckms - fm   waterloo  100.3 sound fm - campus radio and community radio                  radio waterloo inc
9   102.5 fm  ckav - fm - 8  kitchener            aboriginal voices radio - first nations                   aboriginal voices
10  105.3 fm      cfca - fm   waterloo             105.3 kool fm - hot adult contemporary                    bell media radio
11  106.7 fm      cikz - fm   waterloo                            kix 106 - country music  rogers communications rogers radio
12  107.5 fm      cjdv - fm  kitchener                               107.5 dave fm - rock                 corus entertainment
