    rank          nation  gold  silver  bronze  total
0      1   united states    11      11       9     31
1      2           japan     8       7       6     21
2      3         ukraine     7       4       2     13
3      4           china     4       2       6     12
4      5           italy     3       3       0      6
5      6          poland     2       1       0      3
6      6         romania     2       1       0      3
7      8          russia     1       3       4      8
8      9          france     1       1       5      7
9     10  czech republic     1       1       3      5
10    11         germany     1       1       0      2
11    12  united kingdom     1       0       2      3
12    13       australia     1       0       0      1
13    14     switzerland     0       1       0      1
14    14          canada     0       1       0      1
15    16         hungary     0       0       1      1
16    16        slovenia     0       0       1      1
17    16     netherlands     0       0       1      1
