   place             player        country  score to par
0      1      craig stadler  united states     64    - 7
1     t2    bernhard langer   west germany     67    - 4
2     t2        bill rogers  united states     67    - 4
3     t2         tom watson  united states     67    - 4
4     t5         nick faldo        england     68    - 3
5     t5      mike ferguson      australia     68    - 3
6     t5     vaughan somers      australia     68    - 3
7     t5         hal sutton  united states     68    - 3
8     t5       sam torrance       scotland     68    - 3
9    t10       eamonn darcy        ireland     69    - 2
10   t10         david dunk        england     69    - 2
11   t10       hubert green  united states     69    - 2
12   t10       graham marsh      australia     69    - 2
13   t10  philip parkin (a)          wales     69    - 2
14   t10        lee trevino  united states     69    - 2
