                                 name               years  wins  losses  ties    pct
0                            no coach         1873 - 1889    72      19     4  779.0
1                     lucius littauer                1881     5       1     2  750.0
2                       frank a mason                1886    12       2     0  857.0
3   george a stewart & george c adams         1890 - 1892    34       2     0  944.0
4   george a stewart & everett j lake                1893    12       1     0  923.0
5                    william a brooks                1894    11       2     0  846.0
6       no head coach for 1st 6 games                1895     6       0     0    1.0
7                     robert w emmons                1895     1       1     0  500.0
8                      lorin f deland                1895     1       1     1  500.0
9                         bert waters                1896     7       4     0  636.0
10             william cameron forbes         1897 - 1898    21       1     1  935.0
11                   benjamin dibblee         1899 - 1900    20       1     1  932.0
12                        john farley                1902    11       1     0  917.0
13                      john cranston                1903     9       3     0  750.0
14                 edgar wrightington                1904     7       2     1  750.0
15                          bill reid  1901 , 1905 - 1906    30       3     1  897.0
16                       joshua crane                1907     7       3     0  700.0
17                     percy haughton         1908 - 1916    72       7     5  887.0
18                    wingate rollins                1917     3       1     3  643.0
19                      pooch donovan                1918     2       1     0  667.0
20                         bob fisher         1919 - 1925    43      14     5  734.0
21                     arnold horween         1926 - 1930    20      17     3  537.0
22                        eddie casey         1931 - 1934    20      11     1  641.0
23                        dick harlow         1935 - 1947    45      39     7  533.0
24                        henry lamar         1943 - 1944     7       3     1  682.0
25                      arthur valpey         1948 - 1949     5      12     0  294.0
26                       lloyd jordan         1950 - 1956    24      31     3  440.0
27                      john yovicsin         1957 - 1970    78      42     5  644.0
28                         joe restic         1971 - 1993   117      97     6  545.0
29                         tim murphy      1994 - current   128      61     0  677.0
