     rank          nation  gold  silver  bronze  total
0       1           china    19       7       7     33
1       2            iran     4       1       0      5
2       3          turkey     3       7       9     19
3       4        bulgaria     3       5       2     10
4       5           egypt     3       0       0      3
5       6        thailand     2       4       2      8
6       7         ukraine     2       1       4      7
7       8         romania     2       1       1      4
8       9           qatar     2       1       0      3
9      10          russia     1       7       4     12
10     11     north korea     1       1       1      3
11     12         belarus     1       0       3      4
12     13       australia     1       0       2      3
13     14         moldova     1       0       1      2
14     15       indonesia     0       3       1      4
15     16     south korea     0       2       2      4
16     17         hungary     0       2       1      3
17     18          latvia     0       1       1      2
18     19  chinese taipei     0       1       0      1
19     19          poland     0       1       0      1
20     21      azerbaijan     0       0       2      2
21     22          canada     0       0       1      1
22     22         ecuador     0       0       1      1
23  total           total    45      45      45    135
