               municipality  inhabitants                 mayor                  party  election
0                   trieste       205535      roberto cosolini       democratic party      2011
1                     udine        99627         furio honsell       democratic party      2008
2                 pordenone        51723      claudio pedrotti       democratic party      2011
3                   gorizia        35798         ettore romoli  the people of freedom      2012
4                monfalcone        27877         silvia altran       democratic party      2011
5                    sacile        20227       roberto ceraolo  the people of freedom      2009
6                 cordenons        18470          mario ongaro       lega friuli - vg      2011
7                  codroipo        15887       fabio marchetti  the people of freedom      2011
8             azzano decimo        15601           marco putto       democratic party      2012
9                    porcia        15443       stefano turchet       lega friuli - vg      2009
10  san vito al tagliamento        15015  antonio di bisceglie       democratic party      2011
