    year        name of tournament           champions        runners - up                  score
0   1978  seiko world super tennis          björn borg       brian teacher          6 - 3 , 6 - 4
1   1979  seiko world super tennis          björn borg       jimmy connors          6 - 2 , 6 - 2
2   1980  seiko world super tennis       jimmy connors       tom gullikson          6 - 1 , 6 - 2
3   1981  seiko world super tennis  vincent van patten      mark edmondson  6 - 2 , 3 - 6 , 6 - 3
4   1982  seiko world super tennis        john mcenroe      peter mcnamara          7 - 6 , 7 - 5
5   1983  seiko world super tennis          ivan lendl         scott davis  3 - 6 , 6 - 3 , 6 - 4
6   1984        seiko super tennis       jimmy connors          ivan lendl  6 - 4 , 3 - 6 , 6 - 0
7   1985        seiko super tennis          ivan lendl       mats wilander          6 - 0 , 6 - 4
8   1986        seiko super tennis        boris becker       stefan edberg          7 - 6 , 6 - 1
9   1987        seiko super tennis       stefan edberg          ivan lendl  6 - 7 , 6 - 4 , 6 - 4
10  1988        seiko super tennis        boris becker     john fitzgerald          7 - 6 , 6 - 4
11  1989        seiko super tennis    aaron krickstein    carl - uwe steeb          6 - 2 , 6 - 2
12  1990        seiko super tennis          ivan lendl        boris becker  4 - 6 , 6 - 3 , 7 - 6
13  1991        seiko super tennis       stefan edberg    derrick rostagno  6 - 3 , 1 - 6 , 6 - 2
14  1992        seiko super tennis          ivan lendl         henrik holm          7 - 6 , 6 - 4
15  1993        seiko super tennis          ivan lendl         todd martin          6 - 4 , 6 - 4
16  1994        seiko super tennis    goran ivanišević       michael chang          6 - 4 , 6 - 4
17  1995        seiko super tennis       michael chang  mark philippoussis          6 - 3 , 6 - 4
