     res   record           opponent                             method  round   time                                    location
0   loss  20 - 15       kevin jordan               decision (unanimous)      3   5:00       salem , new hampshire , united states
1    win  20 - 14          brad imes                       ko (punches)      1   0:28      kansas city , missouri , united states
2    win  19 - 14    aaron winterlee            submission (neck crank)      1   2:22      springfield , missouri , united states
3   loss  18 - 14  jeremiah constant               submission (punches)      1   0:42            tulsa , oklahoma , united states
4    win  18 - 13    aaron winterlee      submission (guillotine choke)      2   1:11            miami , oklahoma , united states
5    win  17 - 13          eric esch    submission (punches and elbows)      1   3:17  atlantic city , new jersey , united states
6    win  16 - 13     derrick ruffin                      tko (punches)      2   1:02                    missouri , united states
7    win  15 - 13        david tyner                      tko (punches)      2   2:45          antlers , oklahoma , united states
8    win  14 - 13       scott arnold                      tko (punches)      1   2:12                             quebec , canada
9   loss  13 - 13        tom clemens               submission (kneebar)      2   1:35               boise , idaho , united states
10   win  13 - 12    brian stromberg                       ko (punches)      1   4:00               boise , idaho , united states
11   win  12 - 12     vernon earwood             tko (knee and punches)      1   2:33           denver , colorado , united states
12   win  11 - 12      richard gomez      submission (guillotine choke)      1   0:47      corpus christi , texas , united states
13   win  10 - 12     allan sullivan                       ko (punches)      1   3:35                    colorado , united states
14  loss   9 - 12    marcus silveira  dq (knees on a grounded opponent)      1   0:50            deland , florida , united states
15   win   9 - 11         chuck gale           tko (elbows and punches)      1   7:31        littleton , colorado , united states
16  loss   8 - 11      maxim tarasov             submission (heel hook)      1   3:31                             moscow , russia
17  loss   8 - 10    moti horenstein                     ko (head kick)      1   0:26        littleton , colorado , united states
18  loss    8 - 9         matt asher                      tko (punches)      1   0:11        littleton , colorado , united states
19   win    8 - 8          joe grant               submission (punches)      1   0:35        littleton , colorado , united states
20   win    7 - 8         david dodd               decision (unanimous)      1  16:00     west valley city , utah , united states
21   win    6 - 8       tony mendoza                      tko (punches)      1   7:27                south dakota , united states
22   win    5 - 8        marco selva               submission (punches)      1   4:35                     rio de janeiro , brazil
23  loss    4 - 8         marco ruas             submission (heel hook)      1   0:39                     rio de janeiro , brazil
24  loss    4 - 7       fabio gurgel                submission (armbar)      1   0:50                     rio de janeiro , brazil
25  loss    4 - 6      dave beneteau               submission (punches)      1   1:09                               tokyo , japan
26  loss    4 - 5     kiyoshi tamura             submission (heel hook)      1   0:55                              nagoya , japan
27  loss    4 - 4      kimo leopoldo               submission (punches)      1   2:59                             sapporo , japan
28   win    4 - 3    rudyard moncayo      submission (rear naked choke)      1   1:08            casper , wyoming , united states
29  loss    3 - 3      kimo leopoldo               submission (punches)      1   3:00                              nagoya , japan
30  loss    3 - 2       royce gracie               submission (punches)      1   1:17           denver , colorado , united states
31   win    3 - 1      johnny rhodes      submission (guillotine choke)      1   1:07           denver , colorado , united states
32   win    2 - 1       scott morris                       tko (elbows)      1   0:30           denver , colorado , united states
33   win    1 - 1         ray wizard      submission (guillotine choke)      1   0:58           denver , colorado , united states
34  loss    0 - 1       ken shamrock             submission (heel hook)      1   1:49           denver , colorado , united states
