     res       record                    opponent                                method  round   time                                   location
0    win  19 - 10 (1)            adrian rodrigues               submission (neck crank)      1   4:50                      san jose , costa rica
1   loss  18 - 10 (1)                ronys torres                         tko (punches)      1   0:22        amazonas (brazilian state) , brazil
2   loss   18 - 9 (1)              lim hyun - gyu                         tko (punches)      1  n / a                            mangilao , guam
3   loss   18 - 8 (1)              aloisio barros                 tko (doctor stoppage)      3   1:27               luxembourg city , luxembourg
4   loss   18 - 7 (1)           yoshiyuki yoshida                         tko (punches)      1  n / a   palavas - les - flots , herault , france
5   loss   18 - 6 (1)           zorobabel moreira                  decision (unanimous)      3   5:00                         bangkok , thailand
6     nc   18 - 5 (1)              hermes franã§a  nc (decision overturned by promoter)      3   5:00                       cartago , costa rica
7    win       18 - 5                steve berger                         tko (punches)      2   1:16                    laval , quebec , canada
8    win       17 - 5             randall jimenez       submission (rear - naked choke)      2   2:50                     tamarindo , costa rica
9    win       16 - 5              rudier fuentes                   submission (armbar)      2   4:20                    guanacaste , costa rica
10   win       15 - 5              rogelio zuniga                   submission (armbar)      1   2:12                    guanacaste , costa rica
11   win       14 - 5             randall jimenez                      tko (retirement)      1   5:00                     tamarindo , costa rica
12  loss       13 - 5            daisuke nakamura                  decision (unanimous)      3   5:00     kansas city , missouri , united states
13   win       13 - 4                jeffry lopez                  decision (unanimous)      3   5:00                                 costa rica
14   win       12 - 4              graydon tannas                          ko (punches)      3   0:18               winnipeg , manitoba , canada
15   win       11 - 4            calvett huzinger                            submission      1   0:55         newkirk , oklahoma , united states
16   win       10 - 4                drew fickett                          ko (punches)      3   2:02         clinton , oklahoma , united states
17   win        9 - 4                 elton brown       submission (rear - naked choke)      1   3:15                     san pedro , costa rica
18   win        8 - 4  alejandro solano rodriguez                  decision (unanimous)      3   5:00           desamparados canton , costa rica
19   win        7 - 4                vince guzman         submission (rear naked choke)      2   2:05  palm springs , california , united states
20   win        6 - 4               douglas noear                  submission (strikes)  n / a  n / a          concho , oklahoma , united states
21  loss        5 - 4                pedro santos                  decision (unanimous)      3   5:00                    rio de janeiro , brazil
22  loss        5 - 3                paulo thiago                  decision (unanimous)      3   5:00                    rio de janeiro , brazil
23   win        5 - 2               rory mcdonell                  decision (unanimous)      3   5:00               winnipeg , manitoba , canada
24   win        4 - 2         christos petroutsos                         tko (punches)      1   1:02                        charleroi , belgium
25  loss        3 - 2                 tommy truex                  decision (unanimous)      3   5:00          portland , oregon , united states
26   win        3 - 1                mike neufeld                         tko (punches)      2  n / a               winnipeg , manitoba , canada
27  loss        2 - 1             pono pananganan                      decision (split)      3      5          honolulu , hawaii , united states
28   win        2 - 0             will cunningham                            ko (punch)      2   2:49                         sydney , australia
29   win        1 - 0                 gavin murie                   submission (armbar)      1  n / a                                  australia
