    round  pick            player          position   school / club team
0       1    11        pat harlow  offensive tackle  southern california
1       1    14   leonard russell      running back        arizona state
2       2    41  jerome henderson    defensive back              clemson
3       3    56   calvin stephens             guard       south carolina
4       4    84       scott zolak       quarterback             maryland
5       5   112        jon vaughn      running back             michigan
6       5   124        ben coates         tight end          livingstone
7       6   140         david key    defensive back             michigan
8       7   168      blake miller            center      louisiana state
9       8   196       harry colon    defensive back             missouri
10      9   224      o'neil glenn             guard             maryland
11     10   251      randy bethel         tight end           miami (fl)
12     11   279       vince moore     wide receiver            tennessee
13     11   303      paul alsbury            punter          texas state
14     12   307       tim edwards  defensive tackle          delta state
