    rank          nation  gold  silver  bronze  total
0      1          russia    13       9       8     30
1      2   united states     4       8       9     21
2      3         ukraine     6       2       5     13
3      4           japan     3       2       3      8
4      5          france     3       1       2      6
5      6           italy     3       2       0      5
6      6         hungary     2       3       0      5
7      6           china     2       1       2      5
8      6         germany     0       2       3      5
9      7          poland     0       2       2      4
10     8          canada     0       2       1      3
11     9  czech republic     0       1       0      1
12     9         estonia     0       1       0      1
13     9  united kingdom     0       0       1      1
