                 team  average  points  played     2006     2007      2008
0            libertad    2.179     279     126  83 / 40  95 / 44  101 / 44
1       cerro porteño    2.023     259     126  92 / 40  92 / 44   75 / 44
2            nacional    1.484     190     126  53 / 40  60 / 44   77 / 44
3             olimpia    1.406     180     126  50 / 40  76 / 44   54 / 44
4      sol de américa    1.363     120      86    n / a  57 / 44   63 / 44
5    sportivo luqueño    1.335     171     126  56 / 40  66 / 44   49 / 44
6             tacuary    1.335     171     126  66 / 40  51 / 44   54 / 44
7             guaraní    1.265     162     126  42 / 40  41 / 44   79 / 44
8           2 de mayo    1.126     142     126  58 / 40  34 / 44   50 / 42
9       12 de octubre    1.132     145     126  42 / 40  49 / 44   53 / 44
10       3 de febrero    1.062     136     126  36 / 40  49 / 44   51 / 44
11  silvio pettirossi    0.500      22      42    n / a    n / a   22 / 44
