   pos             player                      team  height  weight
0    g        pat carroll               iowa energy   6 - 5     190
1    f        trey gilder           maine red claws   6 - 9     185
2    f      carlos powell  albuquerque thunderbirds   6 - 7     225
3    f         romel beck            dakota wizards   6 - 8     195
4    f        brian butch           bakersfield jam  6 - 11     240
5    f      desmon farmer             reno bighorns   6 - 5     210
6    f        mike harris  rio grande valley vipers   6 - 6     235
7    g      donell taylor            idaho stampede   6 - 5     215
8    g    curtis jerrells              austin toros   6 - 1     195
9    g     mustafa shakur               tulsa 66ers   6 - 3     190
10   f     diamon simpson   los angeles d - fenders   6 - 7     230
11   f    reggie williams      sioux falls skyforce   6 - 6     210
12   g  dontell jefferson                utah flash   6 - 5     190
