     rank          nation  gold  silver  bronze  total
0       1          russia   200      24      82    308
1       2         belarus    12      11      19     43
2       3        bulgaria    12      10      22     44
3       4         ukraine     7      17      26     50
4       5      kazakhstan     4       5      23     31
5       6        mongolia     4       7       7     18
6       7       lithuania     2       4      11     17
7       8         georgia     2       4       8     14
8       9      uzbekistan     1       8      15     24
9      10      kyrgyzstan     1       2       4      7
10     10          serbia     1       2       4      7
11     12      tajikistan     1       2       3      6
12     13          latvia     1       1       3      5
13     14         moldova     1       0       5      6
14     15       venezuela     0       3       7     10
15     16         armenia     0       2       6      8
16     17      azerbaijan     0       2       4      6
17     18           japan     0       1       4      5
18     19          france     0       1       3      4
19     19         romania     0       1       3      4
20     19         estonia     0       1       3      4
21     22         germany     0       1       1      2
22     22        colombia     0       1       1      2
23     24          israel     0       1       0      1
24     25          greece     0       0       2      2
25     25           spain     0       0       2      2
26     27  czech republic     0       0       1      1
27     27       indonesia     0       0       1      1
28     27            iran     0       0       1      1
29     27          jordan     0       0       1      1
30     27   united states     0       0       1      1
31     27    turkmenistan     0       0       1      1
32     27     south korea     0       0       1      1
33     27        slovenia     0       0       1      1
34  total           total   245     111     207    425
