    goal              date                                               venue  score  result                        competition
0      1  21 december 2002     gelora bung karno stadium , jakarta , indonesia  1 - 0   2 - 2                     2002 tiger cup
1      2  23 december 2002     gelora bung karno stadium , jakarta , indonesia  3 - 0  13 - 1                     2002 tiger cup
2      3     31 march 2004  ashgabat olympic stadium , ashgabat , turkmenistan  1 - 1   3 - 1  2006 fifa world cup qualification
3      4      18 july 2004                   workers stadium , beijing , china  0 - 1   1 - 2                 2004 afc asian cup
4      5      10 july 2007     gelora bung karno stadium , jakarta , indonesia  1 - 0   2 - 1                 2007 afc asian cup
5      6   9 november 2007     gelora bung karno stadium , jakarta , indonesia  1 - 2   1 - 4  2010 fifa world cup qualification
6      7    21 august 2008     gelora bung karno stadium , jakarta , indonesia  0 - 2   0 - 7    2008 indonesia independence cup
7      8    21 august 2008     gelora bung karno stadium , jakarta , indonesia  0 - 3   0 - 7    2008 indonesia independence cup
8      9    21 august 2008     gelora bung karno stadium , jakarta , indonesia  0 - 4   0 - 7    2008 indonesia independence cup
9     10    21 august 2008     gelora bung karno stadium , jakarta , indonesia  0 - 5   0 - 7    2008 indonesia independence cup
10    11    25 august 2008     gelora bung karno stadium , jakarta , indonesia  3 - 0   4 - 0    2008 indonesia independence cup
11    12   5 december 2008     gelora bung karno stadium , jakarta , indonesia  1 - 0   3 - 0                2008 aff suzuki cup
12    13   7 december 2008     gelora bung karno stadium , jakarta , indonesia  0 - 1   0 - 4                2008 aff suzuki cup
13    14   7 december 2008     gelora bung karno stadium , jakarta , indonesia  0 - 2   0 - 4                2008 aff suzuki cup
14    15   7 december 2008     gelora bung karno stadium , jakarta , indonesia  0 - 3   0 - 4                2008 aff suzuki cup
15    16  18 december 2009     gelora bung karno stadium , jakarta , indonesia  1 - 0   1 - 1   2011 afc asian cup qualification
