                       week                           theme                      song choice        original artist  order    result
0                  audition            auditioner 's choice  rock with you bohemian rhapsody  michael jackson queen  n / a  advanced
1                 hollywood                      first solo                       what 's up          4 non blondes  n / a  advanced
2                 hollywood               group performance           some kind of wonderful      soul brothers six  n / a  advanced
3                 hollywood                     second solo                          believe                   cher  n / a  advanced
4   top 36 / semi - final 2  billboard hot 100 hits to date    (i can't get no) satisfaction     the rolling stones     12  advanced
5                    top 13                 michael jackson                   black or white        michael jackson     11      safe
6                    top 11                  grand ole opry                     ring of fire           anita carter      5      safe
7                    top 10                          motown           the tracks of my tears           the miracles      8      safe
8                     top 9                   top downloads            play that funky music            wild cherry      8      safe
9                     top 8      year they were born (1982)                        mad world        tears for fears      8      safe
10                    top 7           songs from the cinema       born to be wild easy rider            steppenwolf      3      safe
11                    top 7                           disco              if i can't have you         yvonne elliman      5      safe
