   rank                      name     headquarters           industry  market value ( usd million)
0     1               exxon mobil    united states        oil and gas                       371631
1     2          general electric    united states       conglomerate                       362527
2     3                 microsoft    united states  software industry                       281171
3     4                 citigroup    united states            banking                       238935
4     5                        bp   united kingdom        oil and gas                       233260
5     6           bank of america    united states            banking                       211706
6     7         royal dutch shell  the netherlands        oil and gas                       211280
7     8                wal - mart    united states             retail                       196860
8     9  toyota motor corporation            japan         automotive                       196731
9    10                   gazprom           russia        oil and gas                       196339
