                 team     location                      venue  capacity  position in 2000
0              slavia        mozyr                     yunost      5500                 1
1                bate      borisov     city stadium , borisov      5500                 2
2        dinamo minsk        minsk             dinamo , minsk     41040                 3
3     neman - belcard       grodno                      neman      6300                 4
4           shakhtyor    soligorsk                   stroitel      5000                 5
5               gomel        gomel            central , gomel     11800                 6
6   dnepr - transmash      mogilev          spartak , mogilev     11200                 7
7       torpedo - maz        minsk            torpedo , minsk      5200                 8
8            belshina     bobruisk         spartak , bobruisk      3550                 9
9        dinamo brest        brest              osk brestskiy     10080                10
10     lokomotiv - 96      vitebsk          central , vitebsk      8300                11
11       vedrich - 97     rechytsa         central , rechytsa      3550                12
12             naftan  novopolotsk                     atlant      6500                13
13  molodechno - 2000   molodechno  city stadium , molodechno      5500  first league , 1
